COVID Suspected Race Other,COVID Confirmed 50-59,Date Filter,COVID Suspected Hispanic,COVID Confirmed 60-69,COVID Confirmed 80-,COVID Suspected Alaskan Native American Indian,COVID Confirmed Race Not Disclosed,COVID Suspected 18-19,COVID Confirmed White,COVID Suspected Black African American,COVID Suspected Race Missing,COVID Confirmed Ethnicity Missing,COVID Confirmed Alaskan Native American Indian,COVID Suspected Age Unknown,COVID Confirmed Black African American,COVID Suspected Ethnicity Missing,COVID Suspected 20-29,COVID Confirmed Asian,COVID Suspected 70-79,COVID Suspected Asian,COVID Suspected Gender Not Disclosed,Max Date,COVID Confirmed 0-17,COVID Suspected White,COVID Suspected Female,COVID Suspected Gender Missing,COVID Confirmed Gender Missing,COVID Confirmed Hispanic,COVID Suspected Ethnicity Not Disclosed,COVID Confirmed Age Missing,COVID Suspected 40-49,COVID Suspected Gender Unknown,COVID Confirmed Female,COVID Confirmed 20-29,COVID Confirmed Native Hawaiian Pacific Islander,COVID Confirmed Race Missing,COVID Suspected Non-Hispanic,COVID Confirmed Gender Not Disclosed,COVID Suspected 80-,COVID Suspected 50-59,today,COVID Confirmed 30-39,COVID Confirmed Male,COVID Suspected Male,COVID Confirmed Race Other,COVID Suspected Native Hawaiian Pacific Islander,COVID Confirmed Non-Hispanic,COVID Suspected 60-69,COVID Confirmed 70-79,COVID Confirmed Gender Unknown,COVID Suspected Race Not Disclosed,Date,COVID Confirmed Ethnicity Not Disclosed,COVID Confirmed 40-49,COVID Suspected 0-17,COVID Confirmed Age Unknown,COVID Suspected 30-39,COVID Confirmed 18-19,COVID Suspected Age Missing
12,36,T,13,52,60,2,8,2,144,73,0,0,2,0,67,0,19,1,56,2,0,2021-02-15,2,163,119,25,0,19,22,0,20,0,97,6,1,0,223,1,38,40,2021-02-19,14,145,114,20,1,200,46,51,0,5,2020-11-29,24,19,13,2,24,1,0
11,40,T,9,59,82,2,8,0,194,68,0,3,6,0,81,1,19,4,51,2,10,2021-02-15,4,155,115,12,3,19,13,2,21,0,151,9,0,2,220,3,53,31,2021-02-19,11,157,106,18,0,264,46,83,0,5,2021-01-30,27,20,9,1,13,2,0
15,12,T,13,26,20,0,8,1,49,79,65,38,3,5,36,68,19,0,67,4,2,2021-02-15,1,217,167,66,38,7,22,32,25,0,48,4,0,38,285,5,57,48,2021-02-19,4,46,153,3,0,79,72,28,0,8,2020-10-06,13,5,18,5,25,0,46
16,16,T,12,22,16,3,3,3,32,99,68,37,3,0,42,68,20,2,56,0,0,2021-02-15,1,187,154,67,37,5,16,31,31,3,40,4,0,35,290,1,56,47,2021-02-19,4,46,162,4,1,70,63,20,0,12,2020-10-03,9,5,26,1,25,1,59
11,48,T,9,54,59,3,9,4,179,85,0,0,4,6,64,0,13,2,72,2,3,2021-02-15,3,214,144,22,0,14,23,0,33,1,123,12,1,0,289,7,52,49,2021-02-19,5,147,151,18,0,239,59,74,0,6,2020-12-01,24,20,12,2,21,0,0
10,22,T,13,17,25,2,9,4,57,71,49,29,2,2,31,49,21,4,68,4,3,2021-02-15,2,181,149,49,29,10,23,9,26,0,59,6,0,22,246,5,57,34,2021-02-19,9,54,130,11,1,83,50,27,0,13,2020-10-11,14,15,8,1,33,3,26
11,36,T,11,43,46,1,8,2,135,60,0,0,6,0,58,0,15,3,48,0,25,2021-02-15,8,149,113,0,0,14,13,0,19,0,103,15,0,0,203,0,40,35,2021-02-19,11,115,89,9,0,193,39,42,0,6,2021-02-12,11,17,12,0,17,0,0
23,46,T,21,98,85,6,12,0,285,83,1,1,5,0,126,1,12,5,72,2,0,2021-02-15,8,179,140,1,1,20,19,1,24,28,212,12,0,1,263,7,50,48,2021-02-19,26,235,135,23,2,406,62,145,2,8,2021-01-13,30,25,14,10,21,1,1
15,59,T,16,105,115,0,9,2,298,87,1,2,5,2,111,1,15,4,72,2,21,2021-02-15,6,200,150,1,2,15,19,1,21,0,237,10,0,2,279,6,57,54,2021-02-19,19,207,143,23,0,402,60,98,0,10,2020-12-31,33,30,9,8,23,1,0
17,17,T,24,23,27,3,3,2,81,68,9,3,3,0,33,17,19,1,48,2,0,2021-02-15,3,177,131,25,3,6,14,0,36,3,65,3,1,1,230,0,54,35,2021-02-19,7,61,126,4,1,109,43,39,0,8,2020-10-25,9,8,16,0,21,0,11
15,55,T,14,78,76,1,11,4,226,90,0,0,5,1,86,0,24,1,62,2,24,2021-02-15,3,179,155,0,0,20,17,0,23,1,180,19,0,0,263,0,59,40,2021-02-19,17,164,114,17,0,307,53,79,2,7,2020-12-18,19,18,5,1,23,0,0
10,30,T,4,47,59,1,2,1,161,63,0,0,0,0,58,0,13,2,31,1,24,2021-02-15,4,124,97,0,0,13,11,0,16,0,118,12,0,0,190,0,42,34,2021-02-19,19,117,84,12,0,204,45,52,0,6,2021-02-13,17,11,7,0,16,1,0
14,24,T,18,25,27,4,1,2,80,75,5,14,5,0,45,5,17,0,61,2,16,2021-02-15,2,172,138,4,14,13,21,13,26,0,67,6,0,14,235,0,40,33,2021-02-19,4,69,121,5,0,114,54,34,0,7,2020-10-22,9,14,18,0,24,1,4
12,31,T,10,55,43,1,5,4,131,49,0,1,5,0,59,0,16,2,49,0,19,2021-02-15,1,157,95,0,1,11,16,0,17,2,103,8,0,1,196,0,35,37,2021-02-19,9,106,106,7,1,169,43,46,0,2,2020-11-23,29,14,8,3,13,0,0
11,27,T,13,28,29,4,6,2,83,73,2,2,1,0,35,1,14,1,63,2,2,2021-02-15,0,174,127,13,2,12,20,0,29,1,71,5,0,2,241,0,37,57,2021-02-19,11,70,132,16,1,117,48,28,1,8,2020-11-02,13,16,10,0,15,0,0
14,31,T,15,48,48,2,4,2,122,84,0,2,6,0,74,0,16,1,54,1,12,2021-02-15,1,171,131,3,2,14,13,2,21,2,103,6,0,1,252,0,55,44,2021-02-19,10,113,132,10,0,177,49,54,0,8,2020-11-20,25,18,13,0,26,0,0
12,23,T,15,43,45,3,2,6,116,80,0,4,4,2,54,1,21,4,62,1,22,2021-02-15,2,194,136,0,4,15,16,0,35,0,97,5,0,3,274,0,53,35,2021-02-19,11,92,148,8,0,159,50,46,0,16,2020-11-10,13,12,20,2,22,2,0
17,50,T,14,82,86,3,12,1,245,67,0,2,6,2,87,0,12,2,49,2,22,2021-02-15,4,159,118,0,2,15,27,0,25,1,174,8,0,3,218,8,55,34,2021-02-19,10,187,118,16,1,322,50,97,0,10,2021-01-02,32,21,11,13,20,0,0
19,66,T,18,96,103,5,19,3,265,75,0,2,10,1,104,0,9,0,66,0,32,2021-02-15,4,146,107,0,2,31,13,2,13,0,201,11,0,2,219,7,45,35,2021-02-19,18,218,111,28,0,359,53,88,0,5,2021-01-10,36,31,5,9,20,0,0
17,43,T,16,79,81,2,13,3,216,80,0,0,1,1,104,0,13,1,64,0,23,2021-02-15,4,181,143,0,0,20,23,0,20,1,169,14,0,0,248,0,49,37,2021-02-19,9,181,120,16,1,310,66,90,1,6,2020-12-12,21,26,16,5,18,0,0
10,35,T,9,72,47,4,6,1,166,84,0,4,5,0,75,0,11,0,44,1,25,2021-02-15,6,149,115,0,4,14,9,0,26,0,126,11,0,3,235,0,46,39,2021-02-19,9,140,113,14,0,229,65,62,0,5,2021-02-10,22,25,10,0,11,2,0
14,36,T,12,57,69,0,7,2,185,100,0,0,5,0,87,0,21,6,56,5,16,2021-02-15,2,156,150,0,0,17,16,0,18,1,165,11,0,0,251,0,54,46,2021-02-19,18,138,112,13,0,264,51,86,0,4,2020-12-14,22,19,13,0,18,5,0
20,51,T,14,84,83,5,5,3,237,71,1,6,13,1,115,1,21,5,51,1,21,2021-02-15,6,154,123,6,6,28,20,2,20,0,214,16,0,2,223,0,49,38,2021-02-19,25,188,108,26,0,345,41,101,0,6,2021-01-20,24,32,10,0,23,3,0
12,58,T,12,90,72,1,2,0,250,56,0,0,5,1,83,0,10,2,46,0,22,2021-02-15,2,141,99,0,0,19,12,0,19,0,162,11,1,0,192,0,40,38,2021-02-19,12,200,95,19,1,320,43,94,0,5,2020-12-28,23,22,6,0,13,1,0
9,46,T,14,81,93,1,10,0,262,74,1,2,12,0,108,1,13,3,66,2,29,2021-02-15,7,188,135,4,2,20,11,1,25,0,213,19,0,2,254,0,50,40,2021-02-19,16,194,112,12,0,351,54,109,0,5,2021-01-26,36,36,11,0,20,1,1
12,35,T,13,68,52,1,3,1,170,70,0,2,0,0,84,0,11,5,38,0,22,2021-02-15,1,137,107,0,0,8,4,0,28,0,118,5,2,0,209,0,40,34,2021-02-19,12,152,97,6,1,245,54,74,0,5,2021-02-09,15,22,6,0,14,1,0
18,49,T,18,75,64,3,8,2,185,71,2,10,3,0,97,3,20,0,50,1,1,2021-02-15,2,162,129,30,10,13,11,4,26,4,152,16,1,6,235,1,36,46,2021-02-19,11,158,103,14,2,271,59,65,0,8,2021-02-03,20,28,8,0,15,0,5
13,41,T,10,54,43,3,12,2,137,73,0,0,8,1,67,0,18,4,62,3,0,2021-02-15,3,175,134,21,0,10,22,0,23,1,113,10,2,0,242,6,37,46,2021-02-19,5,119,118,8,0,206,53,55,0,7,2020-11-26,22,20,10,7,22,0,0
14,51,T,12,77,89,4,8,0,238,70,1,11,8,0,99,0,17,1,50,3,20,2021-02-15,3,152,112,4,11,22,8,9,21,0,201,9,1,5,229,0,45,28,2021-02-19,20,173,113,23,0,326,53,90,0,5,2021-01-21,24,34,16,0,18,1,1
17,25,T,17,24,19,2,13,7,69,80,41,12,2,0,28,44,27,2,50,1,0,2021-02-15,2,179,155,41,12,9,18,8,19,1,62,4,0,10,252,3,55,48,2021-02-19,6,59,134,6,0,92,56,29,0,11,2020-10-12,17,12,21,1,25,0,23
10,27,T,17,34,36,1,1,4,115,91,3,9,6,0,45,4,24,3,64,1,20,2021-02-15,2,206,150,0,9,8,23,8,21,0,89,8,0,9,279,0,54,48,2021-02-19,6,90,153,8,1,160,67,50,0,10,2020-11-13,10,14,22,0,17,2,2
18,42,T,15,70,61,1,10,2,194,70,0,0,3,0,85,0,18,3,52,3,25,2021-02-15,4,145,112,0,0,22,13,0,17,1,157,7,0,0,214,0,51,29,2021-02-19,16,157,104,19,0,270,43,85,0,5,2020-12-20,22,28,8,0,22,1,0
10,54,T,6,81,89,4,12,1,271,80,0,0,10,1,80,0,14,1,51,1,25,2021-02-15,4,166,135,0,0,17,12,0,22,1,214,15,0,0,248,6,47,40,2021-02-19,21,168,105,14,1,342,59,97,0,4,2021-01-04,29,20,9,7,22,0,0
