First Doses ~ Percent of Population Vaccinated,First Doses ~ Percent of Total,Gender,Second Doses ~ Percent of Population Vaccinated,County,Demographic,Ethnicity,Aggregation Level,Race,Age Group,Second Doses ~ Percent of Total
,0.0005053908355795149,Missing or Undisclosed,,Randolph ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0001399972000559989
0.14215476699444207,0.8248701449724785,Missing or Undisclosed,0.08857952116289013,Craven ,Race,Missing or Undisclosed,County,White,Missing or Undisclosed,0.8646322378716744
0.0005945303210463733,0.00024509803921568627,Missing or Undisclosed,0.0005945303210463733,Hoke ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0004662004662004662
0.18945134889360413,0.25609506248719527,Missing or Undisclosed,0.075325856320097,Currituck ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,50-64,0.23421300659754948
0.0769634964300065,0.39504997620180865,Male,0.04450900998361821,Rutherford ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.39593071212537806
,0.0015432098765432098,Missing or Undisclosed,,Chatham ,Ethnicity,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.00011381743683132255
,,Missing or Undisclosed,,Person ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,
,0.0002048760499897562,Missing or Undisclosed,,Currituck ,Race,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0
,0.0011246786632390746,Missing or Undisclosed,,Harnett ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0013422818791946308
0.041524846834581346,0.013177792179736443,Missing or Undisclosed,0.016337644656228726,Macon ,Race,Missing or Undisclosed,County,Suppressed,Missing or Undisclosed,0.010752688172043012
0.08762936926381566,0.15451493500903848,Missing or Undisclosed,0.06229252099199375,Burke ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,50-64,0.16914103923647933
0.04997666096156839,0.03405139513188025,Missing or Undisclosed,0.0369379181577719,Durham ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,18-24,0.0379925103223122
,0.00013550135501355014,Missing or Undisclosed,,Franklin ,Race,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0002351281448389372
,0.0002068466232288758,Missing or Undisclosed,,Carteret ,Race,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0002913328477785871
,0.0037668956348327056,Missing or Undisclosed,,Yadkin ,Ethnicity,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.00030609121518212427
0.10125041908286045,0.3886929163885976,Male,0.05185451926539431,Alamance ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.37703141928494044
0.41213968957871394,0.46338423184792765,Missing or Undisclosed,0.29185144124168516,Cherokee ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,75+,0.543904958677686
,0.011504424778761062,Missing or Undisclosed,,Martin ,Ethnicity,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0006277463904582549
0.08739495798319327,0.1536037810161481,Missing or Undisclosed,0.056358543417366944,Person ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,50-64,0.1691324815063887
0.12161691253339528,0.9348214285714286,Missing or Undisclosed,0.07884190962945754,Alexander ,Race,Missing or Undisclosed,County,White,Missing or Undisclosed,0.9493006993006993
,0.019725738396624472,Missing or Undisclosed,,Catawba ,Race,Missing or Undisclosed,County,Other,Missing or Undisclosed,0.018811301419997074
