Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
25267,96822,88324,79,30319,10042,Missing,0,30,71026,6316,30265,3726,65197,,79,107827,96433,5922,429,77079,,76925,4059,27248,98304,,9981,264,,71087,25469,23048,30,71089,107220,0
25888,34803,33216,,27665,11800,Wilson,,,9341,1481,27661,10319,8002,81801,,38126,34794,1542,,10461,15337,10440,10605,26846,36187,63224,12147,,69710,8906,25895,25214,,8908,38101,
1550,1664,1607,,1704,623,Tyrrell,,,145,34,1703,589,111,4016,,1855,1663,33,,151,810,151,608,1633,1778,3288,641,,3533,113,1551,1496,,113,1854,
32118,51089,48916,6106,35376,15097,Wayne,794,8813,13566,2487,35351,11816,11443,123131,6247,59330,51034,2699,8866,15088,20802,15067,12208,34398,56530,94031,16131,6286,103693,12669,32134,31367,8566,12669,59231,1224
8053,10092,9814,,8708,4080,Montgomery,,,2285,397,8708,3683,1924,27173,,11137,10092,443,,2429,5743,2427,3789,8507,10792,21266,4232,,23512,2039,8053,7890,,2039,11135,
18001,24964,24078,,19679,9377,Lenoir,,,7566,1355,19675,8022,6320,55949,,28081,24960,1436,,8402,11303,8392,8257,19352,26918,43423,9693,,47933,6959,18005,17758,,6959,28067,
10949,14666,14142,310,11807,5529,Scotland,119,314,3751,662,11806,4748,3017,34823,310,16380,14627,775,366,4207,6531,4195,4890,11624,15689,26793,5787,349,29381,3368,10949,10815,314,3368,16315,122
65212,84261,79753,,68644,24306,Alamance,,0,20567,3482,68627,20824,17716,169509,,90757,84247,3934,15,22098,29035,22069,21239,64998,85565,132145,25173,,145046,19035,65226,62037,0,19035,90696,0
3017,4344,4190,757,3430,1291,Camden,0,594,629,85,3425,1206,534,10867,757,4703,4327,104,611,662,1833,662,1316,3269,4492,8407,1420,774,9354,553,3017,2899,594,553,4681,0
7334,9169,8884,,7968,2703,Greene,,,1966,292,7965,2411,1604,21069,,10228,9168,312,,2260,3592,2257,2474,7861,9827,16884,2786,,18372,1834,7335,7280,,1834,10222,
35459,64352,62229,14135,37937,24178,Rowan,6853,14842,16669,2686,37931,14639,13904,142088,14135,70498,64327,2919,14868,17693,25371,17681,15002,36419,67930,110729,25021,14154,122048,14733,35464,34190,14842,14734,70454,7100
6988,7995,7775,,7569,3823,Northampton,,,1078,253,7567,3570,914,19483,,8766,7993,283,,1197,5256,1197,3687,7402,8480,16132,3970,,17363,1005,6990,6861,,1005,8764,
18960,26090,25154,,21626,10189,Wilkes,,,8348,1582,21618,8607,6757,68412,,30434,26083,1809,,8808,15162,8802,8981,20887,29235,54628,10790,,59783,7123,18967,18397,,7123,30420,
24395,36206,34637,,25559,12279,Lincoln,,,12282,1715,25553,10564,10621,86111,,39269,36199,1802,,13710,15456,13697,10773,25083,37365,67981,12575,,74647,11804,24400,24016,,11806,39250,
25660,32871,31732,,26996,12609,Caldwell,,,8356,1027,26987,11582,6733,82178,,36005,32864,1168,,9009,16769,9004,11829,26221,34577,65842,12997,,71809,7204,25667,24999,,7204,35991,
7024,8475,8205,,7444,4212,Polk,,,1526,686,7442,3526,1365,20724,,9067,8472,722,,1623,6644,1620,3647,7217,8743,17478,4369,,18752,1448,7027,6840,,1448,9062,
