Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Dose - NC,county1,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Dose - NC 5Plus,At Least One Dose - Federal 18Plus,At Least One Dose - NC 12Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - NC,Population 18 Plus,At Least One Booster/Additional Dose - NC Provider - 5Plus,Population 12 Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Dose - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,At Least One Dose - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Booster/Additional Dose - NC Provider - 18Plus,Tiberius at Least One Booster/Additional Dose - 5Plus,Population 5 Plus,County,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,Population,At Least One Dose - All Programs,At Least One Booster/Additional Dose - Pharmacy,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,At Least One Booster/Additional Dose - NC,Population 65 Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,At Least One Dose - Tiberius 5Plus,At Least One Dose - All Programs 65Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,At Least One Booster/Additional Dose - All Providers - 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus,At Least One Dose - All Programs 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - All Programs - 5Plus
338,10274,10339,32680,ROCKINGHAM COUNTY,19270,8907,12532,0,19246,32661,13482,32235,5268,30769,31028,263,31041,72695,8907,79246,5014,478,13454,46990,42636,308,13454,15994,23,8868,0,86406,Rockingham,13267,478,44852,44820,2690,338,91010,47739,10339,2695,498,14561,8908,18996,0,14277,14561,338,13368,31130,45090,44374,478,16371,0,19142,357,13041,10282,29766,47700,10339,19246
500,12035,12125,27933,CARTERET COUNTY,18563,6436,11005,,18561,27926,11553,27640,3795,26233,26442,324,26446,57537,6436,62070,6416,563,12262,40795,37235,339,12260,15650,,6404,,66672,Carteret,11975,563,39225,39202,2411,500,69473,41489,12126,2351,603,12953,6437,17867,,12592,12953,500,13388,27073,39189,38708,563,16078,,18439,517,12915,10211,25730,41442,12125,18561
4953,184287,187724,468763,MECKLENBURG COUNTY,296222,108051,207893,369,296144,468388,217867,450778,27869,419705,432357,2034,432610,852079,108051,937616,50276,7729,241549,701953,610721,2530,241535,119696,413,105543,369,1037049,Mecklenburg,232516,7729,679168,678845,22090,4953,1110356,731135,187725,22401,7818,254554,108084,127686,153,243446,254502,4953,99941,426381,651977,657174,7729,124872,369,290199,5009,95572,78298,397875,730619,187724,296144
2583,734,752,4208,SWAIN COUNTY,3315,1891,1028,662,3305,4207,1172,4109,1116,3963,4028,407,4029,11137,1891,12138,294,2929,1112,8719,7004,492,1112,2475,672,1880,662,13403,Swain,1110,3350,7754,7723,200,2407,14271,9133,752,218,3660,1265,1891,2803,274,1260,1265,2096,1908,4007,8108,7480,3613,2618,662,3276,2613,1868,1684,3880,9085,752,3305
61,1255,1269,8071,AVERY COUNTY,4250,2981,1340,,4250,8065,1436,7971,1551,7524,7590,50,7596,14969,2981,15935,618,80,1463,9619,8833,60,1463,3406,,2955,,16905,Avery,1461,80,9124,9114,283,61,17557,9749,1269,290,102,1576,2981,4020,,1568,1576,61,3208,7875,9391,9046,80,3558,,4210,65,3073,2169,7432,9721,1269,4250
297,3700,3737,19118,VANCE COUNTY,9409,5670,6336,,9407,19092,6705,18495,2915,16901,17234,189,17250,34092,5670,37671,1722,395,6977,26198,22623,215,6975,7591,,5624,,41780,Vance,6900,395,24529,24506,1144,297,44535,26938,3737,1132,408,7412,5672,8487,,7308,7411,297,6463,17389,24489,24098,395,7810,,9324,302,6258,4637,15990,26898,3737,9407
253,1941,1963,22342,HALIFAX COUNTY,10560,8597,4241,,10560,22323,4633,21993,4678,20690,20832,190,20846,39391,8597,43237,827,369,4697,27447,24529,224,4697,9348,,8555,,47245,Halifax,4658,369,25806,25782,857,253,50010,27881,1963,903,373,5166,8597,10690,,5085,5166,253,8498,21180,26182,25601,369,9625,,10496,263,8301,5505,20035,27858,1963,10560
552,9182,9318,36075,NASH COUNTY,20798,11448,15727,13,20779,36053,16488,35509,5765,33521,33854,362,33871,73765,11448,81106,4051,771,17872,54720,49009,424,17872,15942,29,11380,13,89023,Nash,17530,771,52311,52278,3056,552,94298,55846,9318,3070,778,18993,11451,17956,0,18440,18993,552,12853,34564,51823,51603,771,16347,13,20575,568,12524,9816,32730,55817,9318,20779
526,2983,3013,23118,RUTHERFORD COUNTY,11876,8862,5056,,11875,23099,5267,22772,4983,21143,21363,431,21374,53422,8862,58398,1410,616,5480,29035,26076,467,5478,10289,,8814,,63605,Rutherford,5413,616,27400,27367,1366,526,67029,29502,3013,1391,650,5734,8863,14855,,5647,5734,526,8899,22045,27928,27082,616,10757,,11797,546,8492,6393,20494,29449,3013,11875
80,2558,2580,11727,ASHE COUNTY,7091,4511,2964,,7091,11717,3036,11404,2413,10690,10932,69,10939,22479,4511,24214,1319,108,3212,14791,13469,91,3212,5387,,4495,,26129,Ashe,3199,108,14251,14224,841,80,27203,15151,2580,768,126,3298,4511,7249,,3279,3297,80,4761,11110,14254,13969,108,5620,,7053,100,4477,3732,10425,15122,2580,7091
137,4462,4508,14381,STOKES COUNTY,9077,4569,6558,,9077,14373,7062,14153,2688,13472,13616,117,13627,37145,4569,40306,2005,218,7077,21923,19903,150,7077,7648,,4559,,43536,Stokes,7013,218,20876,20830,1546,137,45591,22279,4508,1654,254,7644,4569,9917,,7552,7644,137,6161,13828,21108,20622,218,7965,,9021,172,5985,4693,13208,22235,4508,9077
277,573,576,2925,GRAHAM COUNTY,1506,842,777,55,1473,2924,867,2887,493,2724,2752,37,2754,6767,842,7414,364,334,790,4143,3685,62,790,1521,86,840,55,8040,Graham,790,376,3850,3819,150,277,8441,4209,576,163,404,880,844,2067,10,880,880,242,1370,2813,4014,3791,376,1595,55,1468,306,1334,867,2666,4180,576,1473
340,6540,6651,22260,PENDER COUNTY,12820,6137,8372,12,12800,22249,9023,21729,3245,20495,20873,250,20881,49058,6137,53967,2734,510,9586,32228,28571,284,9586,9386,28,6084,12,59482,Pender,9298,510,30823,30799,1360,340,63060,33150,6651,1404,521,10369,6141,11716,0,9989,10368,340,8028,20994,30527,30133,510,9716,12,12636,356,7776,5979,19859,33127,6651,12800
7464,10034,10152,40317,CRAVEN COUNTY,23470,13288,13674,13,23453,40294,14439,39227,8092,37553,38292,874,38309,80387,13288,87409,4769,8328,14889,63155,56848,914,14889,19641,28,13199,13,95778,Craven,14665,8369,60691,60645,2618,7445,102139,64641,10152,2584,8491,15833,13290,20103,13,15559,15833,7430,16453,37221,59988,59663,8431,19951,13,23246,7493,16149,12874,35744,64558,10152,23453
2320,96603,98359,225590,GUILFORD COUNTY,139109,40550,88669,180,139089,225468,93106,220047,15634,208171,211865,1497,211952,418240,40550,459608,35242,3536,103123,327326,289905,1766,103123,77814,193,39782,180,505896,Guilford,98914,3536,317408,317308,14856,2320,537174,338274,98360,15146,3568,109116,40556,83442,76,103743,109092,2320,63489,209630,306272,309405,3536,80401,180,136565,2333,61461,50952,198916,338096,98359,139089
119,727,736,11054,MADISON COUNTY,5674,4937,1128,,5673,11048,1197,10836,2525,10488,10665,86,10669,17939,4937,19327,228,210,1268,12372,11457,106,1268,4429,,4893,,20741,Madison,1251,210,12073,12052,247,119,21755,12623,736,262,225,1344,4938,5034,,1326,1343,119,4135,10530,11937,11858,210,4503,,5620,136,4096,2753,10210,12601,736,5673
258,14525,14831,28245,CHATHAM COUNTY,22990,8151,11373,,22982,28214,12030,27138,4197,26079,26897,150,26917,59661,8151,65198,6210,348,12938,40559,36576,163,12936,13812,,7994,,70897,Chatham,12414,348,40127,40091,2491,258,74470,42265,14831,2463,384,13636,8159,18634,,13073,13633,258,11444,25876,38254,38751,348,14070,,22519,272,11171,10407,24945,42195,14831,22982
1009,21661,21979,67448,PITT COUNTY,36055,13958,24213,109,36046,67401,26400,65904,4681,62987,64001,505,64037,142466,13958,155511,8932,1522,27966,96934,85957,602,27966,22201,114,13851,109,170444,Pitt,27104,1522,93037,92976,3161,1009,180742,99653,21979,3373,1545,30660,13962,25045,51,29508,30657,1009,18790,63382,91304,91100,1522,22765,109,35621,1034,18535,13664,60735,99580,21979,36046
692,15273,15486,40943,MOORE COUNTY,27900,12402,13684,0,27888,40932,14529,40662,7047,38497,38685,415,38691,79328,12402,86466,7841,896,15346,57376,51943,444,15346,22152,12,12327,0,94937,Moore,14870,896,54772,54723,3290,692,100880,58342,15486,3374,931,16468,12402,24192,0,15818,16468,692,19382,39644,55069,54059,896,23200,0,27600,735,18447,14888,37567,58296,15486,27888
2020,61799,63053,168416,FORSYTH COUNTY,99610,36375,61853,166,99594,168273,64691,162474,15388,151779,155963,1224,156066,295401,36375,325690,21299,3220,69774,236615,207725,1515,69772,57319,174,35878,166,359934,Forsyth,67928,3220,227873,227755,10586,2020,382295,245029,63055,10548,3249,73364,36381,62720,77,70921,73349,2020,47327,153624,221535,221727,3220,59390,166,97843,2033,45509,36764,143852,244842,63053,99594
1169,27514,27903,56728,IREDELL COUNTY,41098,13145,33578,32,41080,56687,35263,55742,6095,53120,53855,846,53884,140623,13145,156060,10292,1526,38198,96246,86001,908,38197,25407,46,12970,32,171884,Iredell,37033,1526,93274,93221,5336,1169,181806,98799,27904,5221,1544,40527,13148,29513,19,38978,40525,1169,19997,53700,90489,91322,1526,26126,32,40516,1192,19225,16406,51254,98738,27903,41080
207,4258,4293,15715,TRANSYLVANIA COUNTY,10682,6388,3059,,10681,15709,3183,15321,3575,14922,15210,194,15212,29099,6388,30988,2508,281,3199,18916,17652,230,3199,7996,,6354,,33015,Transylvania,3165,281,18635,18616,1103,207,34385,19371,4293,1088,295,3361,6389,10809,,3314,3361,207,6810,14752,18216,18294,281,8128,,10612,224,6699,6083,14386,19351,4293,10681
124,1654,1657,9067,MARTIN COUNTY,3966,2296,2129,0,3953,9061,2292,8944,1349,8402,8472,107,8478,17917,2296,19455,876,176,2278,11546,10368,125,2278,4131,13,2293,0,21211,Martin,2255,176,10889,10874,488,124,22440,11719,1657,515,185,2467,2296,5372,0,2426,2467,124,3667,8605,11073,10781,176,4307,0,3947,133,3536,2225,8115,11704,1657,3953
111,1579,1602,8567,WARREN COUNTY,4507,2905,2154,,4507,8558,2242,8343,1704,7876,7988,83,7998,16200,2905,17477,793,139,2398,10963,9916,93,2398,3771,,2897,,18843,Warren,2372,139,10513,10497,502,111,19731,11235,1602,489,149,2519,2905,5173,,2481,2519,111,3274,8059,10440,10359,139,3856,,4476,117,3186,2497,7651,11216,1602,4507
41,653,660,3764,JONES COUNTY,2000,1330,993,0,1990,3762,1117,3696,793,3521,3559,26,3559,7704,1330,8314,342,58,1081,4949,4431,32,1081,1826,10,1322,0,8956,Jones,1065,58,4691,4681,220,41,9419,5048,660,236,75,1209,1330,2257,0,1195,1209,41,1614,3553,4728,4627,58,1882,0,1975,51,1580,1135,3397,5029,660,1990
237,6239,6344,16938,DAVIE COUNTY,11311,4967,6612,,11311,16924,6944,16498,2631,15894,16203,163,16214,33901,4967,37262,2885,348,7366,24428,22040,182,7366,8028,,4925,,40760,Davie,7208,348,23832,23806,1618,237,42846,25070,6344,1641,357,7775,4967,9279,,7582,7775,237,6404,15759,23051,23339,348,8227,,11164,252,6247,5516,15191,25047,6344,11311
77978,29237,29643,78881,CUMBERLAND COUNTY,49289,19043,45868,590,49276,78762,48946,76654,8418,71697,72982,6094,73037,252655,19043,277878,11259,91105,52530,225092,189657,7153,52529,36551,599,18778,590,310252,Cumberland,51109,93788,203591,203489,6100,77703,335509,229985,29644,6238,94373,56731,19046,40937,184,54650,56728,75437,25008,72875,212926,200509,94333,38399,590,48605,78024,24357,19861,68352,229823,29643,49276
338,2516,2526,20937,MCDOWELL COUNTY,8603,6063,2785,0,8589,20924,3147,20587,3018,19612,19866,218,19871,36617,6063,39943,1341,506,2920,24381,21906,271,2920,7924,13,6025,0,43474,Mcdowell,2902,506,23142,23124,538,338,45756,24765,2526,616,517,3311,6064,9517,0,3288,3311,338,7332,19665,23318,22852,506,8219,0,8541,351,7168,4359,18783,24741,2526,8589
425,1482,1483,10339,CHEROKEE COUNTY,5881,4285,2496,78,5846,10334,2785,10240,2873,9816,9883,179,9895,23877,4285,25640,844,552,2508,13594,12470,216,2508,6241,112,4275,78,27420,Cherokee,2508,552,12885,12816,786,425,28612,13755,1483,838,613,2803,4286,8723,49,2802,2803,425,5412,9952,13289,12749,552,6466,78,5835,482,5276,3766,9549,13689,1483,5846
,1075,1088,6609,CHOWAN COUNTY,3502,2413,1558,,3501,6603,1637,6516,1491,5784,5830,,5832,11164,2413,12171,583,0,1659,8257,7128,0,1659,3017,,2408,,13243,Chowan,1658,0,7491,7489,426,,13943,8363,1088,399,10,1744,2414,3521,,1741,1744,,2910,6283,7920,7442,0,3309,,3483,,2591,2074,5570,8347,1088,3501
820,31698,32654,89327,ORANGE COUNTY,61847,29162,22122,10,61826,89237,22337,83145,7526,79831,85261,343,85310,119925,29162,130842,9135,1169,24798,108729,96680,393,24798,22549,17,28003,10,142010,Orange,24142,1169,110968,110879,3034,820,148476,115683,32655,2963,1220,25136,29175,21654,0,24415,25132,820,19894,76817,100323,104793,1169,23250,10,59711,860,19172,16661,73738,115538,32654,61826
71,1864,1880,13847,ALEXANDER COUNTY,7039,5159,2418,,7039,13838,2618,13668,2634,13013,13143,59,13146,30040,5159,32781,930,90,2618,16570,15138,66,2618,5490,,5114,,35620,Alexander,2590,90,15874,15832,324,71,37497,16836,1880,337,135,2854,5159,7667,,2812,2854,71,5246,13271,15979,15674,90,5649,,6978,110,5107,3564,12649,16782,1880,7039
4558,54311,55309,170277,DURHAM COUNTY,113050,57637,49181,84,113030,170176,51044,162335,14498,154114,160360,1429,160416,255829,57637,275950,14960,6198,55524,224244,199785,1650,55524,41645,101,56435,84,301307,Durham,53650,6198,220522,220442,5753,4558,321488,234428,55309,5838,6242,57909,57640,43764,38,55711,57903,4558,35812,153759,211001,212322,6198,43300,84,110830,4582,34463,29496,146046,234277,55309,113030
962,11764,11910,54756,HENDERSON COUNTY,35719,23770,12706,0,35680,54735,13361,53320,13288,51438,52561,767,52573,95451,23770,103234,5689,1436,13787,68953,63047,875,13786,26381,32,23502,0,111764,Henderson,13518,1436,67342,67309,3853,962,117417,70735,11910,3901,1443,14536,23777,30961,0,14197,14536,962,22129,51044,65841,65918,1436,26905,0,35266,982,21761,18977,49379,70707,11910,35680
0,2786,2805,16910,PASQUOTANK COUNTY,8012,5205,4822,,8010,16880,5202,16510,2583,14816,15030,0,15043,31068,5205,34029,1346,28,5044,21967,19023,17,5044,6522,,5183,,37393,Pasquotank,5016,28,20102,20074,900,0,39824,22436,2805,970,42,5484,5207,6841,,5429,5484,0,6136,15820,21050,19832,28,7123,,7969,15,5622,3929,14201,22392,2805,8010
66,1006,1009,6129,PAMLICO COUNTY,3206,2197,1071,,3206,6129,1134,6069,1417,5828,5868,49,5868,10805,2197,11540,607,77,1158,7370,6870,52,1158,3365,,2194,,12261,Pamlico,1149,77,7104,7092,262,66,12726,7466,1009,267,93,1244,2197,3866,,1224,1244,66,3120,5959,7170,7043,77,3439,,3200,78,3054,2024,5733,7450,1009,3206
52,545,554,6257,MITCHELL COUNTY,2975,2420,955,,2974,6255,1051,6167,1295,5799,5855,52,5856,12229,2420,13195,271,102,1090,7460,6723,73,1090,2797,,2407,,14242,Mitchell,1087,102,7021,6997,239,52,14964,7570,554,256,115,1198,2421,3810,,1191,1198,52,2578,6063,7216,6938,102,2907,,2952,75,2506,1566,5716,7555,554,2974
13,1350,1361,10288,CURRITUCK COUNTY,4241,2880,1868,,4241,10278,2010,10199,1507,9176,9239,13,9245,21675,2880,23787,654,36,1984,12347,10829,20,1984,4069,,2869,,26216,Currituck,1963,36,11257,11236,360,13,27763,12484,1361,369,48,2148,2880,4551,,2112,2148,13,4211,9967,12013,11152,36,4600,,4219,28,3696,2161,8948,12462,1361,4241
1491,28222,28369,65442,BRUNSWICK COUNTY,48593,20169,21419,47,48585,65421,22449,64837,13674,62108,62539,1134,62556,121795,20169,129086,17330,1818,23317,90602,83927,1243,23315,42708,53,20101,47,137478,Brunswick,22818,1818,87381,87345,6507,1491,142820,91888,28369,6304,1847,24599,20171,46605,33,23947,24597,1491,36289,63592,87859,86417,1818,43836,47,48370,1508,35067,31037,61017,91836,28369,48585
941,16016,16200,57718,DAVIDSON COUNTY,33645,17386,22105,17,33603,57687,23655,56514,9158,52778,53539,696,53556,131285,17386,144432,6841,1255,23814,82968,73566,783,23813,24912,56,17242,17,158409,Davidson,23512,1255,78335,78293,4390,941,167609,84628,16200,4447,1285,25625,17389,31089,17,25199,25623,941,20299,53940,78850,77231,1255,25529,17,33275,965,19826,16016,50520,84565,16200,33603
386,8855,8949,23789,FRANKLIN COUNTY,15563,6600,11504,0,15549,23772,12099,23231,3069,22119,22513,247,22522,54524,6600,59978,3674,511,13023,37178,33223,277,13023,10228,10,6537,0,65799,Franklin,12746,511,35959,35922,1943,386,69685,38135,8949,1928,531,13815,6604,11935,0,13436,13814,386,8231,22330,34940,35251,511,10436,0,15392,414,8038,6743,21333,38097,8949,15549
0,6404,6475,21681,DARE COUNTY,12802,6322,4734,,12797,21669,5111,21305,3637,20589,20845,0,20850,30088,6322,32745,2649,10,5351,26855,24657,10,5351,9232,,6285,,35367,Dare,5161,10,26218,26196,595,0,37009,27488,6475,616,24,5783,6327,8201,,5540,5783,0,8830,20567,25688,25750,10,9456,,12689,17,8637,6286,19923,27462,6475,12797
1236,41395,42042,100454,NEW HANOVER COUNTY,70500,28374,41539,66,70482,100423,43622,98172,12876,93509,95166,853,95187,191812,28374,206724,15904,1842,47854,148111,133268,999,47853,40394,72,27886,66,223363,New Hanover,45930,1842,144298,144255,6061,1236,234473,152741,42042,6144,1859,50428,28386,43147,47,48097,50407,1236,34407,94624,140088,140675,1842,41550,66,69347,1257,33480,28827,90493,152672,42042,70482
151,1697,1728,12473,BLADEN COUNTY,5851,4122,3791,,5850,12466,4056,12238,2495,11353,11489,90,11495,26077,4122,28574,821,180,4150,16822,14889,99,4150,5594,,4105,,31131,Bladen,4120,180,15822,15790,658,151,32722,17150,1728,695,223,4454,4123,7459,,4404,4454,151,5015,11751,15987,15624,180,5809,,5802,177,4846,3316,10947,17100,1728,5850
95,976,991,8956,ANSON COUNTY,4473,3482,2277,,4473,8955,2504,8796,1876,8256,8345,69,8346,19608,3482,21306,417,121,2596,11757,10519,79,2596,3701,,3470,,23143,Anson,2582,121,11041,11036,379,95,24446,11952,991,425,131,2865,3482,4730,,2840,2865,95,3342,8660,11285,10933,121,3846,,4446,99,3253,2293,8147,11941,991,4473
,,,,"",31229,,,30687,30687,,,,,,,,,,,,,,,0,0,,,,31229,,30687,,"",,,0,0,,,,0,,,,,,,18422,,,,,,0,0,,0,30687,30687,,,18422,,0,,30687
