First Doses ~ Percent of Population Vaccinated,First Doses ~ Percent of Total,Gender,Second Doses ~ Percent of Population Vaccinated,County,Demographic,Ethnicity,Aggregation Level,Race,Age Group,Second Doses ~ Percent of Total
,0.0031678986272439284,Missing or Undisclosed,,Franklin ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.002463054187192118
,,Missing or Undisclosed,,Wake ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,
0.0016778523489932886,0.00015670296952127242,Missing or Undisclosed,0.0008389261744966443,Haywood ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.00012807377049180329
0.06286561753316305,0.035090139808682856,Missing or Undisclosed,0.0224932026036088,Henderson ,Ethnicity,Hispanic,County,Missing or Undisclosed,Missing or Undisclosed,0.022175290390707498
,0.00935125657510228,Missing or Undisclosed,,Richmond ,Race,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.00039261876717707107
0.664840014711291,0.27427210244427924,Missing or Undisclosed,0.49154100772342774,Durham ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,65-74,0.32046517204172165
0.5422074655397927,0.3759854880346054,Missing or Undisclosed,0.4078881175168528,Caldwell ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,65-74,0.4037446469475152
0.559920547340543,0.38078799249530954,Missing or Undisclosed,0.3628338115206356,Wilson ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,65-74,0.44516653127538586
,9.061254077564335e-05,Missing or Undisclosed,,Wilkes ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.00016358580075249467
,0.0028492433675946054,Missing or Undisclosed,,Missing  / Out of State,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0013676351001700303
,9.565716472163765e-05,Missing or Undisclosed,,Lenoir ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.00014874312063067083
0.11855670103092783,0.40231584134023163,Male,0.06359808334543343,Columbus ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.40396587502882175
,,Missing or Undisclosed,,Beaufort ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,
0.6453389830508475,0.4174890350877193,Missing or Undisclosed,0.5063559322033898,Avery ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,65-74,0.4649805447470817
,0.002609262883235486,Missing or Undisclosed,,Bladen ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0010222335803731152
0.5224708357238478,0.32465834818775996,Missing or Undisclosed,0.42130426467775867,Davie ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,65-74,0.35943873388807307
0.3999066728884741,0.4253101736972704,Missing or Undisclosed,0.13579094727018198,Clay ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,65-74,0.26919518963922295
,0.014077949111226753,Missing or Undisclosed,,Orange ,Ethnicity,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0007328533862137345
0.0451693851944793,0.015107007973143096,Missing or Undisclosed,0.013801756587202008,Gates ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,18-24,0.009046052631578948
0.578716744913928,0.2592177204542268,Missing or Undisclosed,0.4616588419405321,Person ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,75+,0.32785063347410537
0.09543944427665357,0.1326059588753672,Missing or Undisclosed,0.03322259136212625,Mitchell ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,50-64,0.08339651250947688
,,Missing or Undisclosed,,Scotland ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,
0.253171303698966,0.9623176661264181,Missing or Undisclosed,0.17202323846071849,Pasquotank ,Ethnicity,Non-Hispanic,County,Missing or Undisclosed,Missing or Undisclosed,0.9727245328511152
0.10696968419277311,0.09576114445325179,Missing or Undisclosed,0.05068094615676519,Iredell ,Race,Missing or Undisclosed,County,Black or African-American,Missing or Undisclosed,0.07457500930636556
,0.0007713073659853452,Missing or Undisclosed,,Swain ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0013802622498274672
0.5752955285249272,0.24886056249305222,Missing or Undisclosed,0.4733596025355491,Cabarrus ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,75+,0.3362131905573132
,,Missing or Undisclosed,,Transylvania ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,
0.47814836112708453,0.3081113128543373,Missing or Undisclosed,0.30770557791834385,Cabarrus ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,65-74,0.32556583110245796
,0.0003856536829926726,Missing or Undisclosed,,Swain ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0
0.12121212121212122,0.005477736912121449,Missing or Undisclosed,0.0632034632034632,Moore ,Race,Missing or Undisclosed,County,American Indian or Alaskan Native,Missing or Undisclosed,0.0048689388381244585
,,Missing or Undisclosed,,Buncombe ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,
,0.025447506361876593,Missing or Undisclosed,,Buncombe ,Race,Missing or Undisclosed,County,Other,Missing or Undisclosed,0.02899002493765586
0.4189922693130106,0.34091720199857245,Missing or Undisclosed,0.27517956028291024,Davidson ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,65-74,0.3498780062739631
0.03760282021151586,0.0020011256331686576,Missing or Undisclosed,0.021151586368977675,Burke ,Race,Missing or Undisclosed,County,American Indian or Alaskan Native,Missing or Undisclosed,0.001744524132583834
,0.8049218040986894,Missing or Undisclosed,,Missing  / Out of State,Race,Missing or Undisclosed,County,White,Missing or Undisclosed,0.8337399275523028
0.1819571865443425,0.9069767441860466,Missing or Undisclosed,0.1218144750254842,Currituck ,Race,Missing or Undisclosed,County,White,Missing or Undisclosed,0.9146305563732705
0.0015212017493820118,0.00029643902619779893,Missing or Undisclosed,0.0009507510933637574,Cabarrus ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.00030421027013871984
0.029022157996146436,0.01439837495519178,Missing or Undisclosed,0.00939306358381503,Nash ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,18-24,0.009159229685298262
,0.00016307893020221786,Missing or Undisclosed,,Bladen ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0
,0.030067155067155068,Missing or Undisclosed,,Lincoln ,Race,Missing or Undisclosed,County,Other,Missing or Undisclosed,0.031959852086634974
0.16142656030032848,0.20034944670937682,Missing or Undisclosed,0.1006569685593618,Greene ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,50-64,0.16856581532416504
0.11941391941391942,0.18070953436807094,Missing or Undisclosed,0.05347985347985348,Tyrrell ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,25-49,0.1332116788321168
,0.00029209019745297346,Missing or Undisclosed,,Harnett ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.00039093041438623924
0.20609862161663547,0.9511067866699099,Missing or Undisclosed,0.0764040798039164,Jackson ,Race,Missing or Undisclosed,County,White,Missing or Undisclosed,0.9615257048092869
,0.00028425578282858193,Missing or Undisclosed,,Guilford ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.00028588348206081153
0.18825875939099793,0.7932541461228149,Missing or Undisclosed,0.10077787381158168,Cleveland ,Race,Missing or Undisclosed,County,White,Missing or Undisclosed,0.8565777576853527
,0.5781853485574386,Female,,Missing  / Out of State,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.5717453980927035
0.179407461594733,0.40977443609022557,Male,0.10826627651792246,Washington ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.4054794520547945
,0.0009919588020514552,Missing or Undisclosed,,Missing  / Out of State,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0008131884379389369
0.09991261287503642,0.10309588217613465,Missing or Undisclosed,0.045441304981066126,Perquimans ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,25-49,0.10497981157469718
0.5268969058929259,0.24040770898014177,Missing or Undisclosed,0.44472974707921425,Robeson ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,75+,0.3262077408418872
0.2053419138323668,0.6688087444821477,Missing or Undisclosed,0.14537676442657865,Pitt ,Race,Missing or Undisclosed,County,White,Missing or Undisclosed,0.6918216918216918
0.14575737171750536,0.6558623449379752,Missing or Undisclosed,0.07457472082121124,Wayne ,Race,Missing or Undisclosed,County,White,Missing or Undisclosed,0.7266650160930923
0.12347853939782191,0.22204089469136987,Missing or Undisclosed,0.06219303865043775,Franklin ,Race,Missing or Undisclosed,County,Black or African-American,Missing or Undisclosed,0.1793411330049261
0.15903122002814554,0.3846003771867074,Male,0.11188297195306687,New Hanover ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.3923676600025148
0.05405858676207513,0.03288556367964632,Missing or Undisclosed,0.01582066189624329,Alamance ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,18-24,0.01624662724611057
0.1445551477014508,0.17510057167054838,Missing or Undisclosed,0.053137563363048416,Montgomery ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,50-64,0.12277867528271405
0.10176513575805272,0.3770777498507214,Male,0.06104708902505294,Mecklenburg ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.38379257130067035
0.061855670103092786,0.01655824955647546,Missing or Undisclosed,0.018409425625920472,Cherokee ,Race,Missing or Undisclosed,County,Suppressed,Missing or Undisclosed,0.008756567425569177
,0.0005158627805003869,Missing or Undisclosed,,Polk ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0004219409282700422
,0.0009008738476322033,Missing or Undisclosed,,Pitt ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0005265005265005265
0.14385720447231345,0.39403853144311163,Male,0.08184864470322815,Lee ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.39314741035856576
,0.0024067388688327317,Missing or Undisclosed,,Randolph ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0005645464809936018
