Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Dose - NC,county1,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Dose - NC 5Plus,At Least One Dose - Federal 18Plus,At Least One Dose - NC 12Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - NC,Population 18 Plus,At Least One Booster/Additional Dose - NC Provider - 5Plus,Population 12 Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Dose - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,At Least One Dose - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Booster/Additional Dose - NC Provider - 18Plus,Tiberius at Least One Booster/Additional Dose - 5Plus,Population 5 Plus,County,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,Population,At Least One Dose - All Programs,At Least One Booster/Additional Dose - Pharmacy,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,At Least One Booster/Additional Dose - NC,Population 65 Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,At Least One Dose - Tiberius 5Plus,At Least One Dose - All Programs 65Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,At Least One Booster/Additional Dose - All Providers - 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus,At Least One Dose - All Programs 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - All Programs - 5Plus
7457,10006,10122,40294,CRAVEN COUNTY,23316,13166,13664,12,23300,40271,14434,39213,8041,37538,38258,874,38275,80387,13166,87409,4762,8316,14876,63121,56820,914,14876,19637,26,13090,12,95778,Craven,14654,8354,60637,60591,2616,7438,102139,64593,10122,2583,8472,15827,13168,20103,12,15554,15827,7423,16451,37214,59964,59630,8412,19948,12,23108,7486,16147,12815,35733,64510,10122,23300
2318,96407,98157,225518,GUILFORD COUNTY,138639,40297,88640,167,138621,225396,93062,220001,15575,208146,211810,1497,211897,418240,40298,459608,35197,3534,103052,327225,289856,1766,103052,77798,177,39548,167,505896,Guilford,98878,3534,317280,317180,14847,2318,537174,338123,98158,15133,3566,109039,40304,83442,73,103690,109015,2318,63481,209595,306191,309342,3534,80380,167,136122,2331,61454,50845,198898,337945,98157,138622
119,732,735,11049,MADISON COUNTY,5644,4908,1127,,5643,11043,1193,10830,2516,10479,10657,86,10661,17939,4908,19327,256,210,1266,12360,11449,106,1266,4428,,4864,,20741,Madison,1250,210,12063,12042,247,119,21755,12612,735,262,225,1338,4909,5034,,1320,1337,119,4135,10525,11928,11848,210,4503,,5596,136,4095,2772,10203,12590,735,5643
258,14559,14824,28252,CHATHAM COUNTY,22910,8077,11369,,22901,28221,12026,27149,4167,26085,26902,150,26921,59661,8078,65198,6205,348,12955,40569,36581,163,12953,13817,,7927,,70897,Chatham,12407,348,40148,40113,2489,258,74470,42317,14824,2461,384,13681,8086,18634,,13072,13678,258,11451,25890,38264,38750,348,14075,,22486,272,11178,10372,24954,42247,14824,22902
1009,21573,21881,67411,PITT COUNTY,35805,13817,24192,91,35789,67364,26366,65885,4650,62974,63970,505,64006,142466,13817,155511,8910,1521,27931,96880,85928,602,27931,22201,105,13718,91,170444,Pitt,27082,1521,92971,92910,3161,1009,180742,99579,21881,3373,1544,30624,13819,25045,48,29474,30621,1009,18790,63366,91253,91065,1521,22765,91,35382,1034,18535,13608,60727,99506,21881,35789
691,15212,15413,40923,MOORE COUNTY,27650,12225,13682,0,27638,40912,14516,40660,6988,38507,38677,415,38683,79328,12225,86466,7827,896,15340,57362,51947,444,15340,22155,12,12164,0,94937,Moore,14868,896,54757,54708,3290,691,100880,58307,15413,3372,931,16453,12225,24192,0,15806,16453,691,19385,39641,55053,54066,896,23201,0,27376,734,18450,14815,37574,58261,15413,27638
2017,61681,62939,168318,FORSYTH COUNTY,99227,36125,61834,149,99212,168175,64642,162423,15322,151738,155895,1224,155997,295401,36125,325690,21290,3214,69755,236510,207663,1513,69753,57291,156,35662,149,359934,Forsyth,67912,3214,227782,227665,10578,2017,382295,244862,62940,10539,3243,73301,36131,62720,67,70873,73286,2017,47311,153575,221431,221667,3214,59363,149,97492,2030,45489,36679,143812,244675,62938,99213
1169,27361,27739,56707,IREDELL COUNTY,40832,13048,33555,27,40814,56666,35232,55731,6061,53111,53835,846,53864,140623,13050,156060,10267,1526,38160,96204,85967,908,38159,25397,41,12885,27,171884,Iredell,37006,1526,93216,93163,5330,1169,181806,98735,27739,5215,1544,40484,13052,29513,16,38947,40482,1169,19995,53689,90447,91286,1526,26118,27,40273,1192,19221,16344,51243,98674,27739,40816
207,4243,4278,15711,TRANSYLVANIA COUNTY,10646,6367,3059,,10645,15705,3181,15317,3572,14919,15208,194,15210,29099,6367,30988,2502,281,3199,18910,17649,230,3199,7997,,6333,,33015,Transylvania,3165,281,18633,18614,1103,207,34385,19365,4278,1087,295,3359,6368,10809,,3312,3359,207,6811,14748,18210,18291,281,8128,,10576,224,6700,6074,14383,19345,4278,10645
124,1635,1643,9068,MARTIN COUNTY,3948,2292,2125,0,3935,9062,2284,8945,1349,8402,8473,107,8479,17917,2292,19455,873,176,2273,11539,10365,125,2273,4132,13,2289,0,21211,Martin,2251,176,10885,10870,487,124,22440,11710,1643,514,185,2457,2292,5372,0,2418,2457,124,3669,8607,11067,10777,176,4308,0,3924,133,3538,2222,8116,11695,1643,3935
111,1571,1588,8559,WARREN COUNTY,4474,2886,2151,,4474,8550,2234,8335,1692,7868,7980,83,7990,16200,2886,17477,792,139,2393,10946,9905,93,2393,3773,,2878,,18843,Warren,2369,139,10500,10484,502,111,19731,11217,1588,488,149,2509,2886,5173,,2472,2509,111,3276,8051,10424,10348,139,3857,,4449,117,3188,2484,7643,11198,1588,4474
