First Doses ~ Percent of Population Vaccinated,Demographic,Ethnicity,First Doses ~ Percent of Total,Aggregation Level,Race,Age Group,Gender,Second Doses ~ Percent of Total,Second Doses ~ Percent of Population Vaccinated,County
,Age Group,Missing or Undisclosed,,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,,,Wake 
0.0016778523489932886,Age Group K-12,Missing or Undisclosed,0.00022517451024544022,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0002094240837696335,0.0008389261744966443,Haywood 
0.026777622147153332,Ethnicity,Hispanic,0.022914757103574702,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.02430164098709758,0.015984180604762296,Henderson 
,Race,Missing or Undisclosed,0.00016691704223001168,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0,,Richmond 
0.5294593600588452,Age Group K-12,Missing or Undisclosed,0.32601114180895874,County,Missing or Undisclosed,65-74,Missing or Undisclosed,0.20133874239350913,0.18253034203751378,Durham 
0.4591005131300936,Age Group K-12,Missing or Undisclosed,0.41743664806513586,County,Missing or Undisclosed,65-74,Missing or Undisclosed,0.33114323258869904,0.22819197102324176,Caldwell 
,Ethnicity,Missing or Undisclosed,0.002356637863315004,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.00010985389432055367,,Brunswick 
0.45343191348488193,Age Group K-12,Missing or Undisclosed,0.4572159786358073,County,Missing or Undisclosed,65-74,Missing or Undisclosed,0.3760055159733395,0.180534098433017,Wilson 
,Gender,Missing or Undisclosed,0.00013644426251876107,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0,,Wilkes 
,Gender,Missing or Undisclosed,0.0026260005694940997,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0005616005616005616,,Missing 
,Gender,Missing or Undisclosed,0.00026748696001069946,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0,,Lenoir 
0.07666618266298823,Gender,Missing or Undisclosed,0.4129032258064516,County,Missing or Undisclosed,Missing or Undisclosed,Male,0.3854021385402139,0.030092928706258168,Columbus 
,Age Group,Missing or Undisclosed,,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,,,Beaufort 
0.573728813559322,Age Group K-12,Missing or Undisclosed,0.4719414430115022,County,Missing or Undisclosed,65-74,Missing or Undisclosed,0.34007352941176466,0.23516949152542374,Avery 
,Gender,Missing or Undisclosed,0.0022431583669807087,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0011547344110854503,,Bladen 
0.43526486899980876,Age Group K-12,Missing or Undisclosed,0.35545837888489773,County,Missing or Undisclosed,65-74,Missing or Undisclosed,0.24213587100185038,0.17517689806846434,Davie 
0.16098926738217453,Age Group K-12,Missing or Undisclosed,0.2839506172839506,County,Missing or Undisclosed,65-74,Missing or Undisclosed,0.2442922374429224,0.049930004666355575,Clay 
0.03262233375156838,Age Group K-12,Missing or Undisclosed,0.013151239251390997,County,Missing or Undisclosed,18-24,Missing or Undisclosed,0.007744433688286544,0.010037641154328732,Gates 
0.48231611893583726,Age Group,Missing or Undisclosed,0.3150040883074407,County,Missing or Undisclosed,75+,Missing or Undisclosed,0.4313953488372093,0.3483568075117371,Person 
0.04469948655995168,Age Group,Missing or Undisclosed,0.0924422236102436,County,Missing or Undisclosed,50-64,Missing or Undisclosed,0.09049079754601227,0.017819389912413167,Mitchell 
,Ethnicity,Missing or Undisclosed,0.0027662517289073303,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.001291155584247902,,Edgecombe 
