COVID Suspected Ethnicity Missing,COVID Suspected Age Missing,COVID Suspected Race Missing,COVID Suspected Gender Missing,COVID Confirmed Gender Missing,COVID Confirmed Ethnicity Missing,COVID Confirmed Race Missing,COVID Confirmed Age Missing,today,Date Filter,Max Date,Date,COVID Confirmed 0-17,COVID Confirmed 18-19,COVID Confirmed 20-29,COVID Confirmed 30-39,COVID Confirmed 40-49,COVID Confirmed 50-59,COVID Confirmed 60-69,COVID Confirmed 70-79,COVID Confirmed 80-,COVID Confirmed Age Unknown,COVID Confirmed Hispanic,COVID Confirmed Non-Hispanic,COVID Confirmed Ethnicity Not Disclosed,COVID Confirmed Female,COVID Confirmed Male,COVID Confirmed Gender Not Disclosed,COVID Confirmed Gender Unknown,COVID Confirmed Alaskan Native American Indian,COVID Confirmed Asian,COVID Confirmed Black African American,COVID Confirmed Native Hawaiian Pacific Islander,COVID Confirmed Race Not Disclosed,COVID Confirmed Race Other,COVID Confirmed White,COVID Suspected 0-17,COVID Suspected 18-19,COVID Suspected 20-29,COVID Suspected 30-39,COVID Suspected 40-49,COVID Suspected 50-59,COVID Suspected 60-69,COVID Suspected 70-79,COVID Suspected 80-,COVID Suspected Age Unknown,COVID Suspected Hispanic,COVID Suspected Non-Hispanic,COVID Suspected Ethnicity Not Disclosed,COVID Suspected Female,COVID Suspected Male,COVID Suspected Gender Not Disclosed,COVID Suspected Gender Unknown,COVID Suspected Alaskan Native American Indian,COVID Suspected Asian,COVID Suspected Black African American,COVID Suspected Native Hawaiian Pacific Islander,COVID Suspected Race Not Disclosed,COVID Suspected Race Other,COVID Suspected White
1,0,0,0,2,4,3,0,2021-02-23,T,2021-02-19,2020-11-10,2,2,5,11,12,23,43,46,45,2,15,159,13,97,92,0,0,4,4,54,0,2,8,116,20,6,21,22,35,35,50,62,53,2,15,274,16,136,148,22,0,3,1,80,0,16,12,194
0,0,0,0,2,2,3,0,2021-02-23,T,2021-02-19,2021-01-02,4,0,8,10,21,50,82,97,86,13,15,322,32,174,187,8,0,6,2,87,0,12,16,245,11,1,12,20,25,34,50,49,55,2,14,218,27,118,118,22,1,3,2,67,1,10,17,159
0,0,0,0,2,2,2,2,2021-02-23,T,2021-02-19,2021-01-10,4,0,11,18,31,66,96,88,103,9,31,359,36,201,218,7,0,10,0,104,0,19,28,265,5,3,9,20,13,35,53,66,45,1,18,219,13,107,111,32,0,5,0,75,0,5,19,146
0,0,0,0,0,0,0,0,2021-02-23,T,2021-02-19,2020-12-12,4,0,14,9,26,43,79,90,81,5,20,310,21,169,181,0,1,1,1,104,0,13,16,216,16,3,13,18,20,37,66,64,49,1,16,248,23,143,120,23,1,2,0,80,1,6,17,181
0,0,0,0,3,4,3,0,2021-02-23,T,2021-02-19,2021-02-10,6,2,11,9,25,35,72,62,47,0,14,229,22,126,140,0,0,5,0,75,0,6,14,166,10,1,11,11,26,39,65,44,46,0,9,235,9,115,113,25,0,4,1,84,0,5,10,149
0,0,0,0,0,0,0,0,2021-02-23,T,2021-02-19,2020-12-14,2,5,11,18,19,36,57,86,69,0,17,264,22,165,138,0,0,5,6,87,0,7,13,185,13,2,21,18,18,46,51,56,54,0,12,251,16,150,112,16,1,0,5,100,0,4,14,156
1,0,1,6,1,6,2,2,2021-02-23,T,2021-02-19,2021-01-20,6,3,16,25,32,51,84,101,83,0,28,345,24,214,188,0,0,13,5,115,0,5,26,237,10,3,21,23,20,38,41,51,49,1,14,223,20,123,108,21,0,5,1,71,0,6,20,154
0,0,0,0,0,0,0,0,2021-02-23,T,2021-02-19,2020-12-28,2,1,11,12,22,58,90,94,72,0,19,320,23,162,200,0,0,5,2,83,1,2,19,250,6,0,10,13,19,38,43,46,40,1,12,192,12,99,95,22,0,1,0,56,1,5,12,141
1,1,1,4,2,2,2,1,2021-02-23,T,2021-02-19,2021-01-26,7,1,19,16,36,46,81,109,93,0,20,351,36,213,194,0,0,12,3,108,0,10,12,262,11,0,13,20,25,40,54,66,50,0,14,254,11,135,112,29,0,1,2,74,0,5,9,188
0,0,0,0,0,2,0,0,2021-02-23,T,2021-02-19,2021-02-09,1,1,5,12,22,35,68,74,52,0,8,245,15,118,152,0,0,0,5,84,2,3,6,170,6,1,11,14,28,34,54,38,40,0,13,209,4,107,97,22,0,1,0,70,1,5,12,137
3,5,2,30,3,10,6,4,2021-02-23,T,2021-02-19,2021-02-03,2,0,16,11,28,49,75,65,64,0,13,271,20,152,158,1,0,3,0,97,1,8,14,185,8,2,20,15,26,46,59,50,36,0,18,235,11,129,103,1,4,3,1,71,2,8,18,162
