Fully Vaccinated - NC 5Plus,Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,Population 5 Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - NC 5Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - Federal 5Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - Tiberius 5Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Additional Booster Doses,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - Tiberius 5Plus,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
159352,154392,218487,199653,4547,168357,41484,301307,Durham,1428,6064,168263,50101,5668,161600,54510,34388,48637,321488,4547,230815,211980,5743,6105,56353,43764,54664,56347,35679,153219,209384,255829,6064,43056,4570,89465,275950,53041,159407,4547,146469,6064,54510,222328,1634
52234,51446,66767,62943,959,53927,26474,111764,Henderson,765,1429,53908,13152,3815,52785,13541,21894,12535,117417,959,69578,65731,3852,1436,14215,30961,13961,14215,22051,50590,65171,95451,1429,26776,979,28768,103234,13326,52246,959,49449,1429,13542,68175,873
14853,14722,19788,18818,0,16637,6462,37393,Pasquotank,0,12,16607,5042,885,16371,4909,5577,4698,39824,0,21957,19613,952,30,5290,6841,5257,5290,6099,15722,20776,31068,12,7063,14,6318,34029,4891,14865,0,14120,12,4909,21640,12
5838,5817,7042,6835,66,6092,3340,12261,Pamlico,49,77,6092,1108,256,6045,1126,3035,1042,12726,66,7390,7003,260,93,1205,3866,1195,1205,3103,5941,7126,10805,77,3415,78,2606,11540,1120,5838,66,5727,77,1126,7317,52
5815,5782,6957,6689,52,6201,2796,14242,Mitchell,52,101,6199,1034,239,6127,1066,2505,934,14964,52,7494,6898,256,114,1179,3810,1174,1179,2571,6030,7165,12229,101,2899,75,2347,13195,1064,5816,52,5703,101,1066,7402,72
9058,9029,11032,10649,13,10130,4006,26216,Currituck,13,34,10122,1964,355,10067,1942,3638,1830,27763,13,12262,10966,360,46,2086,4551,2062,2086,4158,9837,11835,21675,34,4537,28,3419,23787,1924,9062,13,8806,34,1942,12163,19
62367,62081,86673,83592,1488,65055,42514,137478,Brunswick,1133,1815,65034,22072,6430,64608,22782,34951,21106,142820,1488,90908,86036,6223,1844,24009,46605,23504,24007,36140,63388,87275,121795,1815,43605,1505,41267,129086,22467,62384,1488,60998,1815,22784,89927,1242
52832,52356,76992,72645,928,56710,24692,158409,Davidson,695,1244,56680,22991,4311,55850,23181,19686,21594,167609,928,82783,76264,4354,1273,24800,31089,24495,24798,20130,53354,77589,131285,1244,25265,961,25895,144432,22980,52849,928,50123,1244,23182,81589,781
22281,22051,35410,32972,384,23489,10162,65799,Franklin,246,505,23475,11840,1914,23085,12708,8002,11307,69685,384,37426,34965,1893,524,13413,11935,13154,13412,8184,22222,34567,54524,505,10352,411,12029,59978,12530,22291,384,21281,505,12708,36744,275
20906,20731,26088,24701,0,21510,9224,35367,Dare,0,10,21497,5002,578,21222,5159,8646,4636,37009,0,27113,25780,606,23,5580,8201,5414,5580,8795,20477,25489,30088,10,9411,17,10281,32745,5049,20912,0,20065,10,5159,26646,10
94785,93654,142771,132940,1234,99593,40266,223363,New Hanover,852,1823,99563,42924,5987,97762,46708,33427,41041,234473,1234,150523,140228,6068,1840,49090,43147,47278,49070,34294,94283,139030,191812,1823,41355,1255,55949,206724,45340,94807,1234,90665,1823,46709,146863,993
11366,11308,15613,14783,151,12294,5580,31131,Bladen,90,176,12287,3948,650,12158,4064,4840,3717,32722,151,16825,15501,684,218,4313,7459,4283,4313,4999,11702,15826,26077,176,5781,177,4477,28574,4042,11372,151,10915,176,4064,16617,98
8229,8165,10848,10369,95,8785,3680,23143,Anson,69,119,8784,2436,370,8693,2519,3241,2212,24446,95,11691,10774,413,129,2777,4730,2759,2777,3324,8571,11126,19608,119,3814,99,3578,21306,2514,8230,95,8062,119,2519,11571,77
