ZIPCode,Place,date,cases_confirmed_cum,deaths_confirmed_cum,TotalPop,cases_daily,deaths_daily,state,cases_per_100k
27909,Elizabeth City,2020-05-08,58,3,40958,58,3,North Carolina,141.608476976415
27910,Ahoskie,2020-05-08,21,1,11609,21,1,North Carolina,180.894133861659
27915,Avon,2020-05-08,1,0,758,1,0,North Carolina,131.926121372032
27916,Aydlett,2020-05-08,0,0,554,0,0,North Carolina,0
27917,Barco,2020-05-08,0,0,1084,0,0,North Carolina,0
27919,Belvidere,2020-05-08,0,0,1211,0,0,North Carolina,0
27920,Buxton,2020-05-08,0,0,1415,0,0,North Carolina,0
27921,Camden,2020-05-08,0,0,5366,0,0,North Carolina,0
27922,Cofield,2020-05-08,1,0,1107,1,0,North Carolina,90.3342366757001
27923,Coinjock,2020-05-08,0,0,990,0,0,North Carolina,0
27924,Colerain,2020-05-08,13,0,3509,13,0,North Carolina,370.475919065261
27925,Columbia,2020-05-08,5,0,4164,5,0,North Carolina,120.076849183477
27926,Corapeake,2020-05-08,2,0,1965,2,0,North Carolina,101.781170483461
27927,Corolla,2020-05-08,0,0,613,0,0,North Carolina,0
27928,Creswell,2020-05-08,2,0,1888,2,0,North Carolina,105.932203389831
27929,Currituck,2020-05-08,1,0,1949,1,0,North Carolina,51.3083632632119
27932,Edenton,2020-05-08,12,1,12644,12,1,North Carolina,94.9066751028156
27935,Eure,2020-05-08,0,0,1674,0,0,North Carolina,0
27936,Frisco,2020-05-08,0,0,961,0,0,North Carolina,0
27937,Gates,2020-05-08,4,0,4253,4,0,North Carolina,94.0512579355749
27938,Gatesville,2020-05-08,2,0,1430,2,0,North Carolina,139.86013986014
27939,Grandy,2020-05-08,0,0,3370,0,0,North Carolina,0
27941,Harbinger,2020-05-08,0,0,670,0,0,North Carolina,0
27942,Harrellsville,2020-05-08,0,0,936,0,0,North Carolina,0
27944,Hertford,2020-05-08,10,1,12230,10,1,North Carolina,81.7661488143908
27946,Hobbsville,2020-05-08,1,0,1089,1,0,North Carolina,91.8273645546373
27947,Jarvisburg,2020-05-08,0,0,845,0,0,North Carolina,0
27948,Kill Devil Hills,2020-05-08,1,0,12518,1,0,North Carolina,7.98849656494648
27949,Kitty Hawk,2020-05-08,4,0,7235,4,0,North Carolina,55.286800276434
27950,Knotts Island,2020-05-08,1,0,2183,1,0,North Carolina,45.8085203847916
27953,Manns Harbor,2020-05-08,0,0,992,0,0,North Carolina,0
27954,Manteo,2020-05-08,0,0,6405,0,0,North Carolina,0
27957,Merry Hill,2020-05-08,2,0,1419,2,0,North Carolina,140.944326990839
27958,Moyock,2020-05-08,6,0,12061,6,0,North Carolina,49.7471188127021
27959,Nags Head,2020-05-08,5,1,2451,5,1,North Carolina,203.998368013056
27960,Ocracoke,2020-05-08,0,0,899,0,0,North Carolina,0
27962,Plymouth,2020-05-08,13,0,7439,13,0,North Carolina,174.754671326791
27964,Point Harbor,2020-05-08,0,0,653,0,0,North Carolina,0
27965,Poplar Branch,2020-05-08,0,0,611,0,0,North Carolina,0
27966,Powells Point,2020-05-08,1,0,1473,1,0,North Carolina,67.8886625933469
27970,Roper,2020-05-08,9,3,3214,9,3,North Carolina,280.024891101431
27973,Shawboro,2020-05-08,0,0,1493,0,0,North Carolina,0
27974,Shiloh,2020-05-08,0,0,1375,0,0,North Carolina,0
27976,South Mills,2020-05-08,1,0,3561,1,0,North Carolina,28.08199943836
27979,Sunbury,2020-05-08,1,0,1813,1,0,North Carolina,55.1571980143409
27980,Tyner,2020-05-08,0,0,2075,0,0,North Carolina,0
27981,Wanchese,2020-05-08,0,0,1863,0,0,North Carolina,0
27983,Windsor,2020-05-08,34,1,10633,34,1,North Carolina,319.759240101571
27986,Winton,2020-05-08,21,0,2650,21,0,North Carolina,792.452830188679
28001,Albemarle,2020-05-08,14,4,28360,14,4,North Carolina,49.3653032440056
28006,Alexis,2020-05-08,0,0,1136,0,0,North Carolina,0
28012,Belmont,2020-05-08,17,0,24276,17,0,North Carolina,70.0280112044818
28016,Bessemer City,2020-05-08,9,0,14526,9,0,North Carolina,61.9578686493185
28018,Bostic,2020-05-08,4,0,5943,4,0,North Carolina,67.3060743732122
28020,Casar,2020-05-08,0,0,2464,0,0,North Carolina,0
28021,Cherryville,2020-05-08,13,0,13436,13,0,North Carolina,96.7549866031557
28023,China Grove,2020-05-08,16,0,14843,16,0,North Carolina,107.794920164387
28025,Concord,2020-05-08,75,2,55325,75,2,North Carolina,135.562584726615
28027,Concord,2020-05-08,150,9,74072,150,9,North Carolina,202.505670158764
28031,Cornelius,2020-05-08,71,14,31049,71,14,North Carolina,228.670810654127
28032,Cramerton,2020-05-08,1,0,3249,1,0,North Carolina,30.7787011388119
28033,Crouse,2020-05-08,0,0,3362,0,0,North Carolina,0
28034,Dallas,2020-05-08,17,2,17859,17,2,North Carolina,95.1901002295761
28036,Davidson,2020-05-08,12,1,18554,12,1,North Carolina,64.6760806295139
28037,Denver,2020-05-08,12,0,23834,12,0,North Carolina,50.3482420072166
28040,Ellenboro,2020-05-08,6,0,8270,6,0,North Carolina,72.5513905683192
28043,Forest City,2020-05-08,36,2,21472,36,2,North Carolina,167.660208643815
28052,Gastonia,2020-05-08,29,0,36823,29,0,North Carolina,78.7551258724167
28054,Gastonia,2020-05-08,30,1,40184,30,1,North Carolina,74.6565797332272
28056,Gastonia,2020-05-08,20,0,35595,20,0,North Carolina,56.1876668071358
28071,Gold Hill,2020-05-08,1,0,3198,1,0,North Carolina,31.2695434646654
28073,Grover,2020-05-08,2,1,5606,2,1,North Carolina,35.6760613628255
28075,Harrisburg,2020-05-08,29,3,19174,29,3,North Carolina,151.246479607802
28077,High Shoals,2020-05-08,1,0,557,1,0,North Carolina,179.533213644524
