county,report_date,reference_date,confirm_death,confirm
Forsyth,2021-10-01,2021-09-20,1,239
Wake,2021-10-01,2021-09-21,1,396
Wake,2021-10-01,2021-09-23,1,333
Guilford,2021-10-01,2021-09-24,1,227
Guilford,2021-10-01,2021-09-20,1,323
Wake,2021-10-01,2021-09-16,1,431
Forsyth,2021-10-01,2021-09-18,2,90
Forsyth,2021-10-01,2021-09-28,2,112
Forsyth,2021-10-01,2021-09-16,2,197
Guilford,2021-10-01,2021-09-25,2,119
Guilford,2021-10-01,2021-09-17,2,293
Wake,2021-10-01,2021-09-14,2,426
Guilford,2021-10-01,2021-09-23,2,238
Forsyth,2021-10-01,2021-09-22,2,191
Guilford,2021-10-01,2021-09-21,2,269
Forsyth,2021-10-01,2021-09-19,3,101
Forsyth,2021-10-01,2021-09-26,3,91
Guilford,2021-10-01,2021-09-18,3,137
Wake,2021-10-01,2021-09-15,3,492
Wake,2021-10-01,2021-09-19,3,145
Wake,2021-10-01,2021-09-22,3,398
Forsyth,2021-10-01,2021-09-25,4,62
Forsyth,2021-10-01,2021-09-21,4,177
Guilford,2021-10-01,2021-09-14,4,312
Guilford,2021-10-01,2021-09-15,4,320
Wake,2021-10-01,2021-09-20,4,560
Wake,2021-10-01,2021-09-17,4,397
Guilford,2021-10-01,2021-09-16,6,301
Forsyth,2021-10-02,2021-09-29,0,53
Wake,2021-10-02,2021-09-25,0,223
Wake,2021-10-02,2021-09-29,0,298
Wake,2021-10-02,2021-09-26,0,91
Wake,2021-10-02,2021-09-24,0,314
Guilford,2021-10-02,2021-09-26,0,133
Forsyth,2021-10-02,2021-09-23,0,159
Guilford,2021-10-02,2021-09-29,0,45
Wake,2021-10-02,2021-09-28,0,304
Guilford,2021-10-02,2021-09-28,0,150
Forsyth,2021-10-02,2021-09-27,0,207
Wake,2021-10-02,2021-09-27,0,444
Guilford,2021-10-02,2021-09-22,0,271
Guilford,2021-10-02,2021-09-27,0,273
Guilford,2021-10-02,2021-09-19,1,131
Forsyth,2021-10-02,2021-09-24,1,152
Wake,2021-10-02,2021-09-18,1,310
Forsyth,2021-10-02,2021-09-17,1,190
Forsyth,2021-10-02,2021-09-14,1,244
Forsyth,2021-10-02,2021-09-15,1,251
Forsyth,2021-10-02,2021-09-20,1,239
Wake,2021-10-02,2021-09-21,1,396
Wake,2021-10-02,2021-09-23,1,333
Guilford,2021-10-02,2021-09-24,1,227
Guilford,2021-10-02,2021-09-20,1,323
Wake,2021-10-02,2021-09-16,1,431
Forsyth,2021-10-02,2021-09-18,2,90
