Reinfection,Total Cases by Date of Specimen collection,Total Antigen Cases by Date of Specimen Collection,Total Molecular Cases by Date of Specimen Collection,Death by Date of Death,County,Date
5,20,4,16,1,Stokes,2022-02-22
6,90,19,71,1,Stokes,2022-01-21
7,126,23,103,1,Stokes,2022-01-04
7,112,33,79,1,Stokes,2022-01-05
8,84,16,68,1,Stokes,2022-01-26
15,154,25,129,1,Stokes,2022-01-12
15,107,28,79,1,Stokes,2022-01-14
28,186,50,136,1,Stokes,2022-01-10
0,34,11,23,1,Surry,2021-12-14
0,42,20,22,1,Surry,2021-12-15
0,27,9,18,1,Surry,2022-02-18
0,3,2,1,1,Surry,2022-03-11
0,2,0,2,1,Surry,2022-03-20
0,2,2,0,1,Surry,2022-03-22
0,3,1,2,1,Surry,2022-04-07
1,38,9,29,1,Surry,2022-02-05
1,16,5,11,1,Surry,2022-02-20
1,3,0,3,1,Surry,2022-04-23
2,57,22,35,1,Surry,2021-12-21
2,62,23,39,1,Surry,2021-12-22
3,72,26,46,1,Surry,2021-12-20
3,54,27,27,1,Surry,2022-01-01
3,108,21,87,1,Surry,2022-01-09
5,36,13,23,1,Surry,2022-05-24
10,149,55,94,1,Surry,2021-12-30
11,158,56,102,1,Surry,2022-01-21
11,116,44,72,1,Surry,2022-01-28
12,157,53,104,1,Surry,2022-01-25
13,121,34,87,1,Surry,2021-12-28
13,208,67,141,1,Surry,2022-01-18
14,120,45,75,1,Surry,2022-01-27
16,133,39,94,1,Surry,2022-01-26
20,253,72,181,1,Surry,2022-01-13
21,102,50,52,1,Surry,2022-01-17
22,160,60,100,1,Surry,2022-01-06
28,245,64,181,1,Surry,2022-01-19
,0,0,0,1,Swain,2022-03-08
0,17,12,5,1,Swain,2022-01-01
0,10,5,5,1,Swain,2022-02-14
0,1,0,1,1,Swain,2022-04-23
0,10,2,8,1,Swain,2022-05-20
1,35,8,27,1,Swain,2022-01-14
1,13,6,7,1,Swain,2022-01-30
2,26,13,13,1,Swain,2021-12-27
2,17,10,7,1,Swain,2022-01-08
2,6,2,4,1,Swain,2022-02-06
3,16,7,9,1,Swain,2022-01-28
,0,0,0,1,Transylvania,2022-02-27
,0,0,0,1,Transylvania,2022-03-21
0,8,5,3,1,Transylvania,2022-02-17
0,3,2,1,1,Transylvania,2022-03-03
0,2,0,2,1,Transylvania,2022-05-02
1,30,6,24,1,Transylvania,2021-12-27
1,36,15,21,1,Transylvania,2021-12-30
1,36,22,14,1,Transylvania,2022-01-18
1,9,4,5,1,Transylvania,2022-02-23
1,2,0,2,1,Transylvania,2022-03-02
2,41,18,23,1,Transylvania,2022-01-06
2,53,15,38,1,Transylvania,2022-01-13
2,15,7,8,1,Transylvania,2022-01-17
2,13,6,7,1,Transylvania,2022-02-08
2,20,3,17,1,Transylvania,2022-02-09
3,19,11,8,1,Transylvania,2021-12-17
3,23,17,6,1,Transylvania,2022-01-02
3,40,13,27,1,Transylvania,2022-01-19
4,23,14,9,1,Transylvania,2022-01-22
4,17,6,11,1,Transylvania,2022-02-07
5,42,15,27,1,Transylvania,2022-01-07
5,64,28,36,1,Transylvania,2022-01-12
0,1,0,1,1,Tyrrell,2022-02-09
0,32,10,22,1,Union,2022-02-22
0,18,4,14,1,Union,2022-02-24
0,9,2,7,1,Union,2022-03-05
0,3,1,2,1,Union,2022-03-13
0,8,1,7,1,Union,2022-03-31
0,10,0,10,1,Union,2022-04-17
1,9,3,6,1,Union,2022-03-21
1,18,4,14,1,Union,2022-04-15
2,22,2,20,1,Union,2022-04-07
3,107,32,75,1,Union,2021-12-15
3,61,12,49,1,Union,2022-02-17
3,12,4,8,1,Union,2022-02-27
4,73,20,53,1,Union,2022-05-04
6,143,35,108,1,Union,2022-02-08
6,69,15,54,1,Union,2022-06-08
7,92,17,75,1,Union,2022-02-05
7,73,26,47,1,Union,2022-02-15
8,108,11,97,1,Union,2021-12-24
8,109,19,90,1,Union,2022-06-01
16,118,21,97,1,Union,2022-05-19
19,226,64,162,1,Union,2022-01-23
20,255,52,203,1,Union,2022-02-01
29,387,84,303,1,Union,2022-01-08
31,413,99,314,1,Union,2022-01-26
33,337,58,279,1,Union,2022-01-27
36,375,71,304,1,Union,2021-12-27
42,483,96,387,1,Union,2022-01-25
44,535,112,423,1,Union,2021-12-30
65,895,193,702,1,Union,2022-01-18
79,985,217,768,1,Union,2022-01-10
0,1,0,1,1,Vance,2022-03-14
1,26,1,25,1,Vance,2022-02-03
2,35,4,31,1,Vance,2022-01-23
2,25,3,22,1,Vance,2022-02-04
2,9,2,7,1,Vance,2022-02-15
3,60,6,54,1,Vance,2022-01-27
6,133,24,109,1,Vance,2022-01-04
7,92,10,82,1,Vance,2022-01-25
7,62,8,54,1,Vance,2022-01-31
8,118,14,104,1,Vance,2022-01-20
10,125,25,100,1,Vance,2022-01-06
11,156,74,82,1,Vance,2022-01-03
1,31,3,28,1,Wake,2022-03-19
2,28,7,21,1,Wake,2022-03-13
2,68,7,61,1,Wake,2022-03-15
2,77,5,72,1,Wake,2022-03-25
2,29,6,23,1,Wake,2022-03-27
3,59,7,52,1,Wake,2022-03-11
3,80,5,75,1,Wake,2022-03-16
3,92,15,77,1,Wake,2022-03-24
3,58,2,56,1,Wake,2022-04-02
8,89,13,76,1,Wake,2022-03-31
8,147,13,134,1,Wake,2022-04-04
8,190,37,153,1,Wake,2022-04-24
9,213,17,196,1,Wake,2022-02-25
9,99,14,85,1,Wake,2022-03-04
9,100,9,91,1,Wake,2022-03-30
10,134,8,126,1,Wake,2022-04-09
10,200,28,172,1,Wake,2022-05-01
11,175,23,152,1,Wake,2022-04-15
14,429,45,384,1,Wake,2021-12-14
15,305,39,266,1,Wake,2022-04-22
15,355,60,295,1,Wake,2022-05-08
25,390,62,328,1,Wake,2022-05-22
31,488,63,425,1,Wake,2022-05-28
32,380,42,338,1,Wake,2022-04-28
36,649,114,535,1,Wake,2021-12-24
36,448,70,378,1,Wake,2022-05-15
37,533,43,490,1,Wake,2022-05-07
41,580,69,511,1,Wake,2022-05-05
58,799,87,712,1,Wake,2022-02-09
71,1039,103,936,1,Wake,2021-12-21
73,1458,122,1336,1,Wake,2022-02-01
75,1324,133,1191,1,Wake,2022-01-02
77,1315,117,1198,1,Wake,2022-01-09
80,1084,136,948,1,Wake,2022-05-17
87,1825,71,1754,1,Wake,2022-01-01
87,1023,107,916,1,Wake,2022-05-19
90,1153,123,1030,1,Wake,2022-05-16
94,1432,123,1309,1,Wake,2021-12-23
242,3642,212,3430,1,Wake,2021-12-27
300,5115,352,4763,1,Wake,2022-01-03
308,4875,199,4676,1,Wake,2022-01-07
335,5901,316,5585,1,Wake,2022-01-11
366,6507,352,6155,1,Wake,2022-01-10
,0,0,0,1,Warren,2022-03-07
0,7,1,6,1,Warren,2021-12-16
0,2,0,2,1,Warren,2022-02-12
0,2,1,1,1,Warren,2022-02-13
0,1,1,0,1,Warren,2022-04-08
1,18,3,15,1,Warren,2022-01-23
1,21,6,15,1,Warren,2022-01-27
5,83,20,63,1,Warren,2022-01-10
5,26,4,22,1,Warren,2022-01-28
,0,0,0,1,Washington,2022-02-19
0,2,0,2,1,Washington,2021-12-26
0,24,11,13,1,Washington,2022-01-31
0,4,1,3,1,Washington,2022-02-05
0,4,0,4,1,Washington,2022-02-06
0,1,0,1,1,Washington,2022-02-21
0,3,2,1,1,Washington,2022-05-16
1,18,13,5,1,Washington,2022-01-28
1,2,0,2,1,Washington,2022-03-01
2,18,7,11,1,Washington,2022-02-02
2,8,3,5,1,Washington,2022-02-11
3,44,7,37,1,Washington,2022-01-17
,0,0,0,1,Watauga,2022-03-25
0,9,1,8,1,Watauga,2022-03-04
0,6,4,2,1,Watauga,2022-03-06
0,3,2,1,1,Watauga,2022-03-13
1,18,10,8,1,Watauga,2022-02-23
1,5,2,3,1,Watauga,2022-03-28
2,13,5,8,1,Watauga,2022-03-01
3,19,1,18,1,Watauga,2022-02-25
4,35,19,16,1,Watauga,2022-02-15
5,73,42,31,1,Watauga,2022-01-07
5,90,52,38,1,Watauga,2022-02-07
6,101,40,61,1,Watauga,2022-02-02
7,72,34,38,1,Watauga,2022-02-03
8,41,20,21,1,Watauga,2022-02-10
11,148,53,95,1,Watauga,2022-01-13
16,160,70,90,1,Watauga,2022-01-21
23,197,65,132,1,Watauga,2022-01-11
0,5,1,4,1,Wayne,2022-02-20
0,8,4,4,1,Wayne,2022-02-24
0,8,2,6,1,Wayne,2022-03-04
0,8,4,4,1,Wayne,2022-03-09
0,12,3,9,1,Wayne,2022-03-17
0,3,2,1,1,Wayne,2022-03-21
0,1,1,0,1,Wayne,2022-03-27
0,3,0,3,1,Wayne,2022-04-10
1,42,1,41,1,Wayne,2022-01-29
1,36,23,13,1,Wayne,2022-02-16
1,10,7,3,1,Wayne,2022-03-02
1,3,1,2,1,Wayne,2022-03-06
1,7,4,3,1,Wayne,2022-03-10
1,3,1,2,1,Wayne,2022-03-12
1,3,2,1,1,Wayne,2022-03-25
1,7,2,5,1,Wayne,2022-04-24
1,18,11,7,1,Wayne,2022-04-25
1,11,6,5,1,Wayne,2022-05-08
2,33,15,18,1,Wayne,2021-12-24
2,11,5,6,1,Wayne,2022-04-27
3,31,7,24,1,Wayne,2022-02-05
3,53,17,36,1,Wayne,2022-02-11
3,8,3,5,1,Wayne,2022-03-15
4,32,4,28,1,Wayne,2022-02-06
6,53,30,23,1,Wayne,2022-02-14
6,18,8,10,1,Wayne,2022-03-07
7,43,23,20,1,Wayne,2022-02-15
9,114,52,62,1,Wayne,2021-12-31
9,107,55,52,1,Wayne,2022-02-02
10,117,58,59,1,Wayne,2021-12-27
10,88,44,44,1,Wayne,2022-02-03
12,102,14,88,1,Wayne,2022-01-23
13,152,70,82,1,Wayne,2022-02-01
25,485,215,270,1,Wayne,2022-01-13
29,334,125,209,1,Wayne,2022-01-03
32,408,222,186,1,Wayne,2022-01-05
45,423,208,215,1,Wayne,2022-01-17
46,560,283,277,1,Wayne,2022-01-14
56,630,290,340,1,Wayne,2022-01-12
59,712,295,417,1,Wayne,2022-01-18
,0,0,0,1,Wilkes,2022-04-15
0,25,5,20,1,Wilkes,2021-12-14
0,20,5,15,1,Wilkes,2022-02-12
0,28,9,19,1,Wilkes,2022-02-28
0,10,1,9,1,Wilkes,2022-03-07
0,4,2,2,1,Wilkes,2022-03-10
0,2,1,1,1,Wilkes,2022-03-16
0,2,0,2,1,Wilkes,2022-03-25
0,1,1,0,1,Wilkes,2022-04-13
1,39,19,20,1,Wilkes,2021-12-21
1,39,10,29,1,Wilkes,2021-12-22
1,48,16,32,1,Wilkes,2021-12-23
1,28,15,13,1,Wilkes,2021-12-26
1,48,19,29,1,Wilkes,2022-01-29
1,26,12,14,1,Wilkes,2022-02-23
1,2,0,2,1,Wilkes,2022-03-15
1,19,7,12,1,Wilkes,2022-05-17
2,30,22,8,1,Wilkes,2022-02-06
3,102,32,70,1,Wilkes,2021-12-27
3,63,41,22,1,Wilkes,2022-01-02
4,94,32,62,1,Wilkes,2022-01-08
4,50,7,43,1,Wilkes,2022-01-17
4,28,13,15,1,Wilkes,2022-06-10
5,64,24,40,1,Wilkes,2022-02-09
5,30,18,12,1,Wilkes,2022-06-06
6,130,30,100,1,Wilkes,2022-01-26
6,37,23,14,1,Wilkes,2022-05-31
8,63,35,28,1,Wilkes,2022-01-09
9,122,43,79,1,Wilkes,2022-01-31
10,91,29,62,1,Wilkes,2022-01-22
10,111,54,57,1,Wilkes,2022-01-28
12,180,61,119,1,Wilkes,2022-01-21
16,148,71,77,1,Wilkes,2022-01-04
17,111,42,69,1,Wilkes,2022-02-01
18,213,79,134,1,Wilkes,2022-01-11
22,230,75,155,1,Wilkes,2022-01-12
,0,0,0,1,Wilson,2022-03-05
,0,0,0,1,Wilson,2022-03-20
0,1,1,0,1,Wilson,2022-03-13
0,1,0,1,1,Wilson,2022-03-28
0,1,1,0,1,Wilson,2022-04-05
1,16,6,10,1,Wilson,2022-02-05
1,20,3,17,1,Wilson,2022-02-06
1,16,1,15,1,Wilson,2022-02-11
1,26,6,20,1,Wilson,2022-02-14
1,30,5,25,1,Wilson,2022-02-15
1,14,5,9,1,Wilson,2022-02-21
1,9,6,3,1,Wilson,2022-02-24
1,7,0,7,1,Wilson,2022-02-25
1,3,0,3,1,Wilson,2022-02-26
1,5,2,3,1,Wilson,2022-03-04
1,6,4,2,1,Wilson,2022-03-07
1,3,1,2,1,Wilson,2022-03-19
1,9,3,6,1,Wilson,2022-05-15
2,38,8,30,1,Wilson,2021-12-22
2,73,12,61,1,Wilson,2022-02-02
2,12,2,10,1,Wilson,2022-02-18
2,15,6,9,1,Wilson,2022-05-21
2,10,3,7,1,Wilson,2022-05-29
3,46,18,28,1,Wilson,2022-01-01
3,20,12,8,1,Wilson,2022-06-07
4,29,10,19,1,Wilson,2021-12-23
4,67,20,47,1,Wilson,2022-01-02
4,52,10,42,1,Wilson,2022-01-21
5,43,18,25,1,Wilson,2022-02-07
7,60,19,41,1,Wilson,2022-01-23
8,81,18,63,1,Wilson,2022-01-15
8,31,14,17,1,Wilson,2022-05-23
19,258,80,178,1,Wilson,2022-01-24
20,185,52,133,1,Wilson,2021-12-28
25,278,59,219,1,Wilson,2022-01-14
26,249,46,203,1,Wilson,2021-12-30
26,305,73,232,1,Wilson,2022-01-11
28,351,64,287,1,Wilson,2022-01-06
31,301,65,236,1,Wilson,2022-01-13
0,45,17,28,1,Yadkin,2021-12-20
0,34,17,17,1,Yadkin,2021-12-26
0,21,9,12,1,Yadkin,2022-02-14
0,20,1,19,1,Yadkin,2022-02-15
0,3,0,3,1,Yadkin,2022-03-08
0,1,1,0,1,Yadkin,2022-03-10
0,3,0,3,1,Yadkin,2022-04-01
0,2,0,2,1,Yadkin,2022-04-15
1,10,3,7,1,Yadkin,2022-02-17
1,11,2,9,1,Yadkin,2022-02-21
1,1,1,0,1,Yadkin,2022-03-14
1,2,1,1,1,Yadkin,2022-03-16
3,45,13,32,1,Yadkin,2021-12-23
3,55,17,38,1,Yadkin,2022-01-31
4,99,36,63,1,Yadkin,2021-12-27
4,28,6,22,1,Yadkin,2022-01-17
4,48,19,29,1,Yadkin,2022-01-23
4,45,12,33,1,Yadkin,2022-01-28
5,60,17,43,1,Yadkin,2022-01-27
10,113,33,80,1,Yadkin,2021-12-30
11,150,17,133,1,Yadkin,2022-01-12
11,113,27,86,1,Yadkin,2022-01-25
21,154,42,112,1,Yadkin,2022-01-20
0,12,10,2,1,Yancey,2021-12-24
0,16,7,9,1,Yancey,2022-01-01
1,19,14,5,1,Yancey,2021-12-22
1,12,8,4,1,Yancey,2021-12-31
2,7,6,1,1,Yancey,2022-01-16
2,34,18,16,1,Yancey,2022-01-25
2,9,6,3,1,Yancey,2022-02-12
2,4,0,4,1,Yancey,2022-03-01
3,34,20,14,1,Yancey,2022-01-04
3,26,11,15,1,Yancey,2022-01-27
5,21,19,2,1,Yancey,2022-01-23
7,44,12,32,1,Yancey,2022-01-21
8,86,33,53,1,Yancey,2022-01-10
9,73,22,51,1,Yancey,2022-01-24
10,50,16,34,1,Yancey,2022-01-14
18,89,21,68,1,Yancey,2022-01-19
0,37,4,33,2,Alamance,2021-12-18
1,36,5,31,2,Alamance,2022-02-19
1,23,7,16,2,Alamance,2022-04-06
2,29,3,26,2,Alamance,2022-01-16
4,69,4,65,2,Alamance,2022-02-16
7,86,9,77,2,Alamance,2022-01-29
7,82,9,73,2,Alamance,2022-02-11
7,47,7,40,2,Alamance,2022-02-17
10,43,9,34,2,Alamance,2022-02-22
16,269,34,235,2,Alamance,2022-01-21
19,165,28,137,2,Alamance,2022-02-01
26,319,31,288,2,Alamance,2022-01-26
49,631,80,551,2,Alamance,2022-01-07
54,669,75,594,2,Alamance,2022-01-06
71,861,87,774,2,Alamance,2022-01-10
0,2,1,1,2,Alexander,2022-02-27
0,2,1,1,2,Alexander,2022-03-10
1,5,1,4,2,Alexander,2022-02-26
13,111,24,87,2,Alexander,2022-01-24
5,30,13,17,2,Alleghany,2022-02-01
7,71,17,54,2,Ashe,2022-01-25
7,111,20,91,2,Beaufort,2022-01-25
14,119,43,76,2,Beaufort,2022-01-17
20,216,30,186,2,Beaufort,2022-01-14
0,15,3,12,2,Bladen,2022-02-17
7,117,42,75,2,Bladen,2022-01-17
10,73,22,51,2,Bladen,2022-01-26
23,196,46,150,2,Bladen,2022-01-18
0,36,4,32,2,Brunswick,2022-02-21
0,16,3,13,2,Brunswick,2022-03-01
1,2,0,2,2,Brunswick,2022-03-06
2,22,3,19,2,Brunswick,2022-03-07
7,120,17,103,2,Brunswick,2022-01-23
9,93,15,78,2,Brunswick,2022-02-08
10,165,24,141,2,Brunswick,2022-01-15
13,142,15,127,2,Brunswick,2022-02-03
16,398,65,333,2,Brunswick,2022-01-20
17,183,23,160,2,Brunswick,2022-02-01
29,438,61,377,2,Brunswick,2022-01-12
1,53,7,46,2,Buncombe,2022-01-16
1,8,2,6,2,Buncombe,2022-03-20
2,39,7,32,2,Buncombe,2021-12-25
2,43,10,33,2,Buncombe,2022-02-19
2,54,17,37,2,Buncombe,2022-02-25
2,26,8,18,2,Buncombe,2022-03-04
3,141,27,114,2,Buncombe,2021-12-20
3,69,26,43,2,Buncombe,2022-02-23
6,90,35,55,2,Buncombe,2022-02-18
7,137,23,114,2,Buncombe,2022-01-30
11,279,76,203,2,Buncombe,2022-01-28
14,313,72,241,2,Buncombe,2021-12-31
21,364,73,291,2,Buncombe,2021-12-27
29,460,115,345,2,Buncombe,2022-01-21
39,619,169,450,2,Buncombe,2022-01-06
52,843,290,553,2,Buncombe,2022-01-10
0,32,12,20,2,Burke,2022-02-12
0,9,2,7,2,Burke,2022-02-25
0,12,2,10,2,Burke,2022-03-08
1,23,8,15,2,Burke,2021-12-14
2,115,16,99,2,Burke,2021-12-27
2,69,7,62,2,Burke,2022-01-02
2,51,16,35,2,Burke,2022-02-11
5,30,11,19,2,Burke,2022-02-17
6,127,31,96,2,Burke,2021-12-29
9,137,35,102,2,Burke,2022-01-28
22,226,66,160,2,Burke,2022-01-04
27,349,108,241,2,Burke,2022-01-14
1,15,2,13,2,Cabarrus,2022-02-26
2,27,5,22,2,Cabarrus,2022-02-25
3,46,11,35,2,Cabarrus,2022-02-12
6,58,6,52,2,Cabarrus,2021-12-25
8,102,30,72,2,Cabarrus,2022-02-10
18,227,67,160,2,Cabarrus,2022-01-23
24,305,88,217,2,Cabarrus,2022-01-17
25,237,62,175,2,Cabarrus,2022-02-01
26,386,99,287,2,Cabarrus,2022-01-25
31,322,98,224,2,Cabarrus,2022-01-31
48,611,131,480,2,Cabarrus,2022-01-20
54,647,130,517,2,Cabarrus,2022-01-05
58,728,173,555,2,Cabarrus,2022-01-11
0,10,0,10,2,Caldwell,2022-02-25
1,13,3,10,2,Caldwell,2022-02-23
4,40,3,37,2,Caldwell,2022-02-06
5,23,3,20,2,Caldwell,2022-01-16
9,78,14,64,2,Caldwell,2022-02-04
10,120,18,102,2,Caldwell,2022-01-22
12,101,16,85,2,Caldwell,2022-02-02
18,100,25,75,2,Caldwell,2022-01-28
28,188,36,152,2,Caldwell,2022-01-31
36,362,77,285,2,Caldwell,2022-01-11
37,264,54,210,2,Caldwell,2022-01-14
0,24,14,10,2,Carteret,2022-02-16
0,1,1,0,2,Carteret,2022-03-16
7,116,44,72,2,Carteret,2022-01-04
7,77,25,52,2,Carteret,2022-01-28
9,118,57,61,2,Carteret,2022-01-31
3,32,3,29,2,Caswell,2022-02-03
0,10,2,8,2,Catawba,2022-02-26
0,2,0,2,2,Catawba,2022-03-27
1,8,4,4,2,Catawba,2022-02-27
1,17,4,13,2,Catawba,2022-03-03
1,6,5,1,2,Catawba,2022-03-23
2,108,36,72,2,Catawba,2021-12-22
2,30,16,14,2,Catawba,2022-02-24
2,11,7,4,2,Catawba,2022-03-08
3,45,20,25,2,Catawba,2022-02-12
7,129,27,102,2,Catawba,2021-12-23
9,79,37,42,2,Catawba,2022-02-16
16,169,53,116,2,Catawba,2022-01-17
16,91,49,42,2,Catawba,2022-02-14
19,185,35,150,2,Catawba,2022-01-02
22,244,110,134,2,Catawba,2022-02-01
23,282,110,172,2,Catawba,2022-01-15
26,352,139,213,2,Catawba,2022-01-26
30,318,109,209,2,Catawba,2022-01-27
38,503,196,307,2,Catawba,2022-01-03
43,452,178,274,2,Catawba,2022-01-21
45,605,228,377,2,Catawba,2022-01-20
46,419,165,254,2,Catawba,2022-01-04
75,724,274,450,2,Catawba,2022-01-19
79,778,324,454,2,Catawba,2022-01-10
86,686,236,450,2,Catawba,2022-01-13
88,758,277,481,2,Catawba,2022-01-12
2,64,20,44,2,Chatham,2022-01-23
0,29,1,28,2,Cherokee,2022-02-04
3,47,7,40,2,Cherokee,2022-01-05
4,22,4,18,2,Cherokee,2022-02-11
5,31,2,29,2,Chowan,2022-01-27
0,16,2,14,2,Cleveland,2022-02-23
0,3,0,3,2,Cleveland,2022-03-23
1,55,9,46,2,Cleveland,2021-12-20
1,10,1,9,2,Cleveland,2022-02-26
3,57,6,51,2,Cleveland,2021-12-14
4,33,9,24,2,Cleveland,2022-02-18
5,62,8,54,2,Cleveland,2022-02-05
5,67,18,49,2,Cleveland,2022-02-10
6,57,10,47,2,Cleveland,2022-02-11
10,61,11,50,2,Cleveland,2022-02-14
14,151,21,130,2,Cleveland,2022-02-02
31,339,54,285,2,Cleveland,2022-01-14
37,385,69,316,2,Cleveland,2022-01-19
4,25,16,9,2,Columbus,2022-02-14
16,187,64,123,2,Columbus,2022-01-20
22,326,156,170,2,Columbus,2022-01-12
35,326,116,210,2,Columbus,2022-01-18
35,266,107,159,2,Columbus,2022-01-24
0,36,3,33,2,Craven,2022-01-22
3,41,14,27,2,Craven,2022-02-17
6,130,42,88,2,Craven,2022-01-15
7,164,36,128,2,Craven,2022-01-28
7,146,40,106,2,Craven,2022-02-01
7,108,32,76,2,Craven,2022-02-03
7,63,14,49,2,Craven,2022-02-14
9,124,23,101,2,Craven,2022-02-02
17,397,99,298,2,Craven,2022-01-24
20,328,129,199,2,Craven,2022-01-17
24,520,149,371,2,Craven,2022-01-18
2,26,8,18,2,Cumberland,2022-02-20
2,11,3,8,2,Cumberland,2022-03-05
3,18,2,16,2,Cumberland,2022-03-04
8,140,17,123,2,Cumberland,2022-02-16
8,72,13,59,2,Cumberland,2022-02-23
9,93,18,75,2,Cumberland,2022-02-06
9,77,16,61,2,Cumberland,2022-04-26
11,121,26,95,2,Cumberland,2022-02-17
12,151,30,121,2,Cumberland,2022-02-11
12,114,6,108,2,Cumberland,2022-02-22
12,111,19,92,2,Cumberland,2022-05-09
14,209,12,197,2,Cumberland,2022-01-22
15,209,21,188,2,Cumberland,2022-01-29
19,196,21,175,2,Cumberland,2022-01-16
21,294,25,269,2,Cumberland,2022-01-01
24,305,63,242,2,Cumberland,2022-02-07
32,367,46,321,2,Cumberland,2022-02-04
35,621,82,539,2,Cumberland,2022-01-28
37,724,58,666,2,Cumberland,2022-01-26
44,438,57,381,2,Cumberland,2022-02-02
54,986,120,866,2,Cumberland,2022-01-17
95,1631,159,1472,2,Cumberland,2022-01-18
96,1462,127,1335,2,Cumberland,2022-01-19
104,1468,140,1328,2,Cumberland,2022-01-11
118,1025,125,900,2,Cumberland,2022-01-06
0,7,0,7,2,Dare,2022-02-20
1,54,6,48,2,Davidson,2021-12-24
2,15,4,11,2,Davidson,2022-03-02
3,28,2,26,2,Davidson,2021-12-25
3,29,4,25,2,Davidson,2022-01-16
4,28,2,26,2,Davidson,2022-02-13
5,105,16,89,2,Davidson,2022-01-22
9,133,29,104,2,Davidson,2022-02-07
13,101,11,90,2,Davidson,2022-02-08
14,152,23,129,2,Davidson,2022-01-23
17,148,21,127,2,Davidson,2022-01-17
27,258,34,224,2,Davidson,2022-01-31
43,363,49,314,2,Davidson,2022-01-07
67,643,86,557,2,Davidson,2022-01-12
75,656,116,540,2,Davidson,2022-01-13
1,39,14,25,2,Davie,2022-01-17
3,60,13,47,2,Davie,2022-01-27
8,93,20,73,2,Davie,2022-01-31
0,26,3,23,2,Duplin,2022-01-01
0,3,1,2,2,Duplin,2022-03-08
1,9,2,7,2,Duplin,2022-02-05
3,22,8,14,2,Duplin,2022-02-15
4,40,13,27,2,Duplin,2022-02-08
10,99,52,47,2,Duplin,2022-01-28
18,170,60,110,2,Duplin,2022-01-25
2,30,1,29,2,Durham,2022-03-21
3,75,15,60,2,Durham,2022-02-18
3,21,2,19,2,Durham,2022-02-27
6,66,6,60,2,Durham,2022-04-05
7,176,13,163,2,Durham,2022-02-08
7,132,12,120,2,Durham,2022-02-11
15,338,30,308,2,Durham,2022-01-28
24,425,10,415,2,Durham,2022-01-23
41,668,21,647,2,Durham,2022-01-15
42,639,43,596,2,Durham,2022-01-26
44,871,34,837,2,Durham,2022-01-20
49,946,66,880,2,Durham,2022-01-14
94,1356,81,1275,2,Durham,2022-01-11
4,43,1,42,2,Edgecombe,2022-01-28
23,216,7,209,2,Edgecombe,2022-01-18
25,185,10,175,2,Edgecombe,2022-01-12
0,17,3,14,2,Forsyth,2022-03-04
2,24,1,23,2,Forsyth,2022-02-26
3,36,6,30,2,Forsyth,2022-02-25
3,36,5,31,2,Forsyth,2022-03-03
6,153,13,140,2,Forsyth,2022-02-05
9,188,19,169,2,Forsyth,2022-01-29
10,122,23,99,2,Forsyth,2022-02-15
13,95,22,73,2,Forsyth,2022-04-25
14,158,25,133,2,Forsyth,2022-02-14
15,271,55,216,2,Forsyth,2022-01-17
22,333,46,287,2,Forsyth,2021-12-23
22,302,25,277,2,Forsyth,2022-01-23
27,427,34,393,2,Forsyth,2022-01-09
41,695,73,622,2,Forsyth,2022-01-26
75,1037,101,936,2,Forsyth,2022-01-03
101,1176,119,1057,2,Forsyth,2022-01-06
101,1515,126,1389,2,Forsyth,2022-01-11
29,361,27,334,2,Franklin,2022-01-24
0,1,0,1,2,Gaston,2022-03-12
2,51,9,42,2,Gaston,2022-02-13
2,18,7,11,2,Gaston,2022-03-01
5,121,25,96,2,Gaston,2021-12-15
6,85,26,59,2,Gaston,2021-12-24
8,92,19,73,2,Gaston,2022-02-06
9,77,13,64,2,Gaston,2022-02-17
13,154,31,123,2,Gaston,2022-01-30
13,116,38,78,2,Gaston,2022-02-14
19,216,43,173,2,Gaston,2022-02-03
42,358,86,272,2,Gaston,2022-01-31
46,451,98,353,2,Gaston,2022-01-26
51,525,103,422,2,Gaston,2022-01-21
55,689,135,554,2,Gaston,2022-01-14
57,582,94,488,2,Gaston,2021-12-30
68,714,141,573,2,Gaston,2022-01-20
69,737,96,641,2,Gaston,2022-01-04
92,913,151,762,2,Gaston,2022-01-10
12,114,10,104,2,Granville,2022-01-25
,0,0,0,2,Greene,2022-03-15
0,48,10,38,2,Guilford,2022-02-25
0,23,6,17,2,Guilford,2022-03-09
0,7,1,6,2,Guilford,2022-03-13
0,13,4,9,2,Guilford,2022-03-25
0,9,1,8,2,Guilford,2022-03-27
3,52,18,34,2,Guilford,2022-03-01
5,42,8,34,2,Guilford,2022-04-09
6,91,26,65,2,Guilford,2022-04-13
7,112,14,98,2,Guilford,2022-02-12
10,198,41,157,2,Guilford,2022-02-15
12,198,43,155,2,Guilford,2021-12-24
12,226,45,181,2,Guilford,2022-02-09
14,178,40,138,2,Guilford,2022-02-14
15,213,33,180,2,Guilford,2022-01-29
21,207,30,177,2,Guilford,2022-05-24
25,412,62,350,2,Guilford,2021-12-22
28,438,88,350,2,Guilford,2022-02-02
36,282,43,239,2,Guilford,2022-05-31
74,1253,205,1048,2,Guilford,2021-12-29
92,1192,165,1027,2,Guilford,2022-01-03
127,1701,335,1366,2,Guilford,2022-01-06
0,8,0,8,2,Halifax,2022-02-22
0,1,0,1,2,Halifax,2022-03-13
