county,objectid,county_fips,geoid,total_vax,new_vax,total_population,percent_total,pop_18_up,pop_16_up,update_dts
Alamance,1218,1,37001021801,1025,1025,4858,25.4090233019336,3847,4034,2021-04-29
Alamance,1257,1,37001021802,698,698,3743,23.6129905277402,2860,2956,2021-04-29
Alamance,1291,1,37001020801,375,375,1661,28.3875851627555,1293,1321,2021-04-29
Alexander,1946,3,37003040500,1094,1094,7016,19.0360187924134,5511,5747,2021-04-29
Alexander,1950,3,37003040100,587,587,3167,22.2939612609191,2577,2633,2021-04-29
Alexander,2003,3,37003040400,1446,1446,6761,26.9023255813953,5164,5375,2021-04-29
Alexander,2004,3,37003040700,1796,1796,6823,32.0142602495544,5463,5610,2021-04-29
Alexander,2005,3,37003040600,1477,1477,6372,26.9132653061224,5340,5488,2021-04-29
Alexander,2134,3,37003040200,834,834,3910,25.9570494864613,3133,3213,2021-04-29
Alexander,2182,3,37003040300,690,690,3164,26.9005847953216,2457,2565,2021-04-29
Alleghany,1414,5,37005950300,719,719,3180,25.5962976148095,2742,2809,2021-04-29
Alleghany,1515,5,37005950200,834,834,3711,28.4544524053224,2838,2931,2021-04-29
Alleghany,1757,5,37005950100,884,884,4117,24.5011086474501,3510,3608,2021-04-29
Anson,898,7,37007920300,1408,1408,7496,21.7855485068853,6318,6463,2021-04-29
Anson,949,7,37007920500,1389,1389,5566,29.6985246953175,4600,4677,2021-04-29
Anson,1179,7,37007920400,455,455,3175,19.3370165745856,2281,2353,2021-04-29
Anson,1219,7,37007920100,632,632,3031,24.930966469428,2304,2535,2021-04-29
Anson,1220,7,37007920200,286,286,1881,18.89035667107,1501,1514,2021-04-29
Anson,1289,7,37007920600,708,708,3753,22.1874020683171,3067,3191,2021-04-29
Ashe,1430,9,37009970300,456,456,2573,21.1994421199442,2113,2151,2021-04-29
Ashe,1617,9,37009970700,1688,1688,5230,36.3558044367866,4562,4643,2021-04-29
Ashe,1684,9,37009970800,1180,1180,5234,27.5829827021973,4096,4278,2021-04-29
Ashe,1721,9,37009970400,1182,1182,5029,29.2068198665678,3930,4047,2021-04-29
Ashe,1773,9,37009970500,1519,1519,5839,30.2048120898787,4839,5029,2021-04-29
Ashe,1775,9,37009970200,556,556,2958,22.2488995598239,2467,2499,2021-04-29
Avery,1541,11,37011930100,640,640,3570,20.6052801030264,3083,3106,2021-04-29
Avery,1616,11,37011930400,617,617,5770,11.8517095658855,4995,5206,2021-04-29
Avery,1745,11,37011930200,736,736,2348,35.2153110047847,2072,2090,2021-04-29
Avery,1753,11,37011930302,405,405,2566,18.6721991701245,2052,2169,2021-04-29
Avery,1772,11,37011930301,683,683,3252,24.8092989466037,2724,2753,2021-04-29
Beaufort,308,13,37013930900,1701,1701,4297,45.3963170536429,3715,3747,2021-04-29
Beaufort,309,13,37013930800,465,465,2628,22.2381635581062,2071,2091,2021-04-29
Beaufort,318,13,37013930700,925,925,2552,41.7607223476298,2180,2215,2021-04-29
Beaufort,322,13,37013931000,1021,1021,6225,21.7790102389079,4611,4688,2021-04-29
Beaufort,336,13,37013930200,1600,1600,6572,28.3035556341765,5345,5653,2021-04-29
Beaufort,364,13,37013930501,1433,1433,4435,38.9402173913044,3573,3680,2021-04-29
Beaufort,381,13,37013930300,1065,1065,3714,36.3109444255029,2807,2933,2021-04-29
Beaufort,382,13,37013930502,767,767,3866,24.7499193288157,3007,3099,2021-04-29
