OBJECTID,COUNTYFP10,GEOID10,TotalVax,TotalPop,PctTotal,NAME10,Pop18Up,Pop16Up,UpdateDTS
2066,021,37021003201,694,1663,48.3286908077994,Buncombe,1404,1436,202105041931
2067,021,37021002603,713,3818,22.6997771410379,Buncombe,3071,3141,202105041931
2068,021,37021002607,1184,4091,34.5996493278784,Buncombe,3354,3422,202105041931
2069,021,37021002804,1418,4883,35.565588161525,Buncombe,3732,3987,202105041931
2108,021,37021001700,1551,2728,64.037985136251,Buncombe,2341,2422,202105041931
2122,021,37021001500,726,2711,33.2265446224256,Buncombe,2158,2185,202105041931
2131,021,37021002101,771,1462,65.6729131175469,Buncombe,1145,1174,202105041931
2132,021,37021003203,1700,5774,37.3872883219705,Buncombe,4446,4547,202105041931
2168,021,37021000300,813,2396,40.8132530120482,Buncombe,1955,1992,202105041931
2170,021,37021003205,315,1278,28.6624203821656,Buncombe,1093,1099,202105041931
2171,021,37021000200,559,1402,51.0502283105023,Buncombe,1095,1095,202105041931
2178,021,37021003103,613,1888,37.8395061728395,Buncombe,1553,1620,202105041931
199,023,37023020802,958,3553,31.1038961038961,Burke,2992,3080,202105041931
200,023,37023020500,1066,2818,47.022496691663,Burke,2232,2267,202105041931
201,023,37023020201,1721,6586,29.8992355802641,Burke,5699,5756,202105041931
202,023,37023021400,1363,4997,35.3383458646617,Burke,3703,3857,202105041931
211,023,37023020100,953,4318,25.7011866235167,Burke,3587,3708,202105041931
228,023,37023021301,1633,5654,31.9069949198906,Burke,4963,5118,202105041931
229,023,37023021203,678,4377,19.3437945791726,Burke,3348,3505,202105041931
230,023,37023021202,633,4928,15.6683168316832,Burke,3949,4040,202105041931
231,023,37023020801,1172,5457,24.4166666666667,Burke,4601,4800,202105041931
248,023,37023020900,1514,6901,26.5381244522349,Burke,5522,5705,202105041931
249,023,37023021000,971,5070,23.1686948222381,Burke,4101,4191,202105041931
250,023,37023020202,1474,4222,42.1142857142857,Burke,3374,3500,202105041931
251,023,37023020302,1768,7403,28.95512610547,Burke,5919,6106,202105041931
252,023,37023020600,1685,5573,40.3496168582375,Burke,4085,4176,202105041931
253,023,37023020301,981,4962,24.4943820224719,Burke,3818,4005,202105041931
254,023,37023021201,831,3724,26.4397072860325,Burke,3072,3143,202105041931
286,023,37023021302,715,3425,22.5552050473186,Burke,3094,3170,202105041931
287,023,37023021100,1068,6000,21.3046080191502,Burke,4865,5013,202105041931
1337,025,37025041302,1878,11284,23.9938673821387,Cabarrus,7626,7827,202105041931
1338,025,37025042503,1100,4099,35.1662404092072,Cabarrus,2998,3128,202105041931
1358,025,37025041200,1578,8857,23.5557545902373,Cabarrus,6427,6699,202105041931
1359,025,37025041100,1301,6383,26.6053169734151,Cabarrus,4672,4890,202105041931
1360,025,37025040500,1983,13448,18.5205940039227,Cabarrus,9934,10707,202105041931
1362,025,37025041303,2380,10349,32.5003413901407,Cabarrus,7003,7323,202105041931
1363,025,37025042603,1715,8096,27.1317829457364,Cabarrus,6129,6321,202105041931
1364,025,37025042604,1224,5033,30.4629168740667,Cabarrus,3840,4018,202105041931
1397,025,37025040600,1125,7091,19.2340571037784,Cabarrus,5693,5849,202105041931
1433,025,37025040900,397,2003,24.6583850931677,Cabarrus,1583,1610,202105041931
1451,025,37025042602,684,4177,21.7142857142857,Cabarrus,2956,3150,202105041931
1492,025,37025041601,1541,8634,22.7554636739516,Cabarrus,6650,6772,202105041931
1493,025,37025041301,1316,6861,24.5247856876631,Cabarrus,5038,5366,202105041931
1494,025,37025042402,698,6715,14.1553437436625,Cabarrus,4777,4931,202105041931
1523,025,37025042000,783,5115,18.2050685887003,Cabarrus,4016,4301,202105041931
1532,025,37025041701,771,4025,22.8579899199526,Cabarrus,3176,3373,202105041931
1555,025,37025041000,805,5842,18.1756604199594,Cabarrus,4239,4429,202105041931
1556,025,37025042200,1780,7066,30.6262904335857,Cabarrus,5519,5812,202105041931
1557,025,37025040703,388,2763,20.5508474576271,Cabarrus,1785,1888,202105041931
1558,025,37025041501,2846,11311,34.1328855840729,Cabarrus,7968,8338,202105041931
1559,025,37025041502,1658,8018,26.3970705301704,Cabarrus,6052,6281,202105041931
1560,025,37025042501,1148,4171,31.9243604004449,Cabarrus,3509,3596,202105041931
