state,county,date,cases_confirmed_cum,cases_daily,deaths_confirmed_cum,deaths_daily
North Carolina,Anson,3/15/2020,0,0,0,0
North Carolina,Anson,3/16/2020,0,0,0,0
North Carolina,Anson,3/17/2020,0,0,0,0
North Carolina,Anson,3/18/2020,0,0,0,0
North Carolina,Ashe,1/22/2020,0,0,0,0
North Carolina,Ashe,1/23/2020,0,0,0,0
North Carolina,Ashe,1/24/2020,0,0,0,0
North Carolina,Ashe,1/25/2020,0,0,0,0
North Carolina,Ashe,1/26/2020,0,0,0,0
North Carolina,Ashe,1/27/2020,0,0,0,0
North Carolina,Ashe,1/28/2020,0,0,0,0
North Carolina,Ashe,1/29/2020,0,0,0,0
North Carolina,Ashe,1/30/2020,0,0,0,0
North Carolina,Ashe,1/31/2020,0,0,0,0
North Carolina,Ashe,2/1/2020,0,0,0,0
North Carolina,Ashe,2/2/2020,0,0,0,0
North Carolina,Ashe,2/3/2020,0,0,0,0
North Carolina,Ashe,2/4/2020,0,0,0,0
North Carolina,Ashe,2/5/2020,0,0,0,0
North Carolina,Ashe,2/6/2020,0,0,0,0
North Carolina,Ashe,2/7/2020,0,0,0,0
North Carolina,Ashe,2/8/2020,0,0,0,0
North Carolina,Ashe,2/9/2020,0,0,0,0
North Carolina,Ashe,2/10/2020,0,0,0,0
North Carolina,Ashe,2/11/2020,0,0,0,0
North Carolina,Ashe,2/12/2020,0,0,0,0
North Carolina,Ashe,2/13/2020,0,0,0,0
North Carolina,Ashe,2/14/2020,0,0,0,0
North Carolina,Ashe,2/15/2020,0,0,0,0
North Carolina,Ashe,2/16/2020,0,0,0,0
North Carolina,Ashe,2/17/2020,0,0,0,0
North Carolina,Ashe,2/18/2020,0,0,0,0
North Carolina,Ashe,2/19/2020,0,0,0,0
North Carolina,Ashe,2/20/2020,0,0,0,0
North Carolina,Ashe,2/21/2020,0,0,0,0
North Carolina,Ashe,2/22/2020,0,0,0,0
North Carolina,Ashe,2/23/2020,0,0,0,0
North Carolina,Ashe,2/24/2020,0,0,0,0
North Carolina,Ashe,2/25/2020,0,0,0,0
North Carolina,Ashe,2/26/2020,0,0,0,0
North Carolina,Ashe,2/27/2020,0,0,0,0
North Carolina,Ashe,2/28/2020,0,0,0,0
North Carolina,Ashe,2/29/2020,0,0,0,0
North Carolina,Ashe,3/1/2020,0,0,0,0
North Carolina,Ashe,3/2/2020,0,0,0,0
North Carolina,Ashe,3/3/2020,0,0,0,0
North Carolina,Ashe,3/4/2020,0,0,0,0
North Carolina,Ashe,3/5/2020,0,0,0,0
North Carolina,Ashe,3/6/2020,0,0,0,0
North Carolina,Ashe,3/7/2020,0,0,0,0
North Carolina,Ashe,3/8/2020,0,0,0,0
North Carolina,Ashe,3/9/2020,0,0,0,0
North Carolina,Ashe,3/10/2020,0,0,0,0
North Carolina,Ashe,3/11/2020,0,0,0,0
North Carolina,Ashe,3/12/2020,0,0,0,0
North Carolina,Ashe,3/13/2020,0,0,0,0
North Carolina,Ashe,3/14/2020,0,0,0,0
North Carolina,Ashe,3/15/2020,0,0,0,0
North Carolina,Ashe,3/16/2020,0,0,0,0
North Carolina,Ashe,3/17/2020,0,0,0,0
North Carolina,Ashe,3/18/2020,0,0,0,0
North Carolina,Avery,1/22/2020,0,0,0,0
North Carolina,Avery,1/23/2020,0,0,0,0
North Carolina,Avery,1/24/2020,0,0,0,0
North Carolina,Avery,1/25/2020,0,0,0,0
North Carolina,Avery,1/26/2020,0,0,0,0
North Carolina,Avery,1/27/2020,0,0,0,0
North Carolina,Avery,1/28/2020,0,0,0,0
North Carolina,Avery,1/29/2020,0,0,0,0
North Carolina,Avery,1/30/2020,0,0,0,0
North Carolina,Avery,1/31/2020,0,0,0,0
North Carolina,Avery,2/1/2020,0,0,0,0
North Carolina,Avery,2/2/2020,0,0,0,0
North Carolina,Avery,2/3/2020,0,0,0,0
North Carolina,Avery,2/4/2020,0,0,0,0
North Carolina,Avery,2/5/2020,0,0,0,0
North Carolina,Avery,2/6/2020,0,0,0,0
North Carolina,Avery,2/7/2020,0,0,0,0
North Carolina,Avery,2/8/2020,0,0,0,0
North Carolina,Avery,2/9/2020,0,0,0,0
North Carolina,Avery,2/10/2020,0,0,0,0
North Carolina,Avery,2/11/2020,0,0,0,0
North Carolina,Avery,2/12/2020,0,0,0,0
North Carolina,Avery,2/13/2020,0,0,0,0
North Carolina,Avery,2/14/2020,0,0,0,0
North Carolina,Avery,2/15/2020,0,0,0,0
North Carolina,Avery,2/16/2020,0,0,0,0
North Carolina,Avery,2/17/2020,0,0,0,0
North Carolina,Avery,2/18/2020,0,0,0,0
North Carolina,Avery,2/19/2020,0,0,0,0
North Carolina,Avery,2/20/2020,0,0,0,0
North Carolina,Avery,2/21/2020,0,0,0,0
North Carolina,Avery,2/22/2020,0,0,0,0
North Carolina,Avery,2/23/2020,0,0,0,0
North Carolina,Avery,2/24/2020,0,0,0,0
North Carolina,Avery,2/25/2020,0,0,0,0
North Carolina,Avery,2/26/2020,0,0,0,0
North Carolina,Avery,2/27/2020,0,0,0,0
North Carolina,Avery,2/28/2020,0,0,0,0
North Carolina,Avery,2/29/2020,0,0,0,0
North Carolina,Avery,3/1/2020,0,0,0,0
North Carolina,Avery,3/2/2020,0,0,0,0
North Carolina,Avery,3/3/2020,0,0,0,0
North Carolina,Avery,3/4/2020,0,0,0,0
North Carolina,Avery,3/5/2020,0,0,0,0
North Carolina,Avery,3/6/2020,0,0,0,0
North Carolina,Avery,3/7/2020,0,0,0,0
North Carolina,Avery,3/8/2020,0,0,0,0
North Carolina,Avery,3/9/2020,0,0,0,0
North Carolina,Avery,3/10/2020,0,0,0,0
North Carolina,Avery,3/11/2020,0,0,0,0
North Carolina,Avery,3/12/2020,0,0,0,0
North Carolina,Avery,3/13/2020,0,0,0,0
North Carolina,Avery,3/14/2020,0,0,0,0
North Carolina,Avery,3/15/2020,0,0,0,0
North Carolina,Avery,3/16/2020,0,0,0,0
North Carolina,Avery,3/17/2020,0,0,0,0
North Carolina,Avery,3/18/2020,0,0,0,0
North Carolina,Beaufort,1/22/2020,0,0,0,0
North Carolina,Beaufort,1/23/2020,0,0,0,0
North Carolina,Beaufort,1/24/2020,0,0,0,0
North Carolina,Beaufort,1/25/2020,0,0,0,0
North Carolina,Beaufort,1/26/2020,0,0,0,0
North Carolina,Beaufort,1/27/2020,0,0,0,0
